dataset,seed,configuration,scope,nmae_pct_fs,acc_at_2_pct,acc_at_5_pct,coverage_pct,failures,rows,nmae_change_from_default_pct_fs,weight_denominator,saturated_rows,percent_max_weight_strictly_gt_095,rows_with_missing_or_nonfinite_weights
Industrial-1395,20262020,alpha_10_default_prior,blur_severe,11.639529930781684,17.634408602150536,44.157706093189965,100.0,0,1395,0.022836217706670325,1395,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,perspective_moderate,10.842602680670533,13.763440860215054,41.29032258064516,100.0,0,1395,0.02296379884128541,1395,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,perspective_severe,12.076926125626624,9.60573476702509,31.11111111111111,100.0,0,1395,0.30573806975904816,1395,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,combined_severe,12.439936861098523,8.67383512544803,29.749103942652326,100.0,0,1395,0.29678700720030093,1395,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,perspective_pair,11.45976440314858,11.684587813620071,36.200716845878134,100.0,0,2790,0.16435093430016856,2790,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,projective_three,11.786488555798561,10.68100358422939,34.05017921146953,100.0,0,4185,0.20849629193354602,4185,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,all_conditions,11.643842163778654,14.778972520908004,41.52927120669056,100.0,0,8370,0.0526270182979971,8370,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,clean,11.660272780455108,17.20430107526882,45.878136200716845,100.0,0,1395,0.01665485502090469,1395,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,blur_moderate,11.570044044316738,17.491039426523297,45.66308243727599,100.0,0,1395,0.017041601537055584,1395,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,blur_severe,11.635008096107624,17.562724014336915,44.3010752688172,100.0,0,1395,0.018314383032610237,1395,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,perspective_moderate,10.847032573720174,14.336917562724013,42.795698924731184,100.0,0,1395,0.027393691890926775,1395,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,perspective_severe,11.902118243038865,11.54121863799283,36.48745519713262,100.0,0,1395,0.13093018717128935,1395,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,combined_severe,12.248577245033413,10.53763440860215,34.05017921146953,100.0,0,1395,0.10542739113519062,1395,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,perspective_pair,11.374575408379522,12.939068100358423,39.6415770609319,100.0,0,2790,0.07916193953111161,2790,0,0.0,0
Industrial-1395,20262020,alpha_25_default_prior,projective_three,11.665909353930818,12.138590203106332,37.77777777777778,100.0,0,4185,0.08791709006580284,4185,0,0.0,0
Industrial-1395,20262020,alpha_50_default_prior,all_conditions,11.612311427036575,15.567502986857825,42.48506571087216,100.0,0,8370,0.02109628155591814,8370,1,0.011947431302270013,0
Industrial-1395,20262020,alpha_50_default_prior,clean,11.654185749106155,17.34767025089606,45.878136200716845,100.0,0,1395,0.01056782367195197,1395,0,0.0,0
Industrial-1395,20262020,alpha_50_default_prior,blur_moderate,11.563665136717251,17.562724014336915,45.73476702508961,100.0,0,1395,0.01066269393756869,1395,0,0.0,0
Industrial-1395,20262020,alpha_50_default_prior,blur_severe,11.6276649126925,17.634408602150536,44.44444444444444,100.0,0,1395,0.010971199617486604,1395,0,0.0,0
Industrial-1395,20262020,alpha_50_default_prior,perspective_moderate,10.837366809753995,14.838709677419354,43.87096774193549,100.0,0,1395,0.017727927924747533,1395,0,0.0,0
Industrial-1395,20262020,alpha_50_default_prior,perspective_severe,11.818646797045371,13.835125448028673,39.06810035842294,100.0,0,1395,0.04745874117779536,1395,0,0.0,0
Industrial-1395,20262020,alpha_50_default_prior,combined_severe,12.172339156904172,12.186379928315413,35.913978494623656,100.0,0,1395,0.029189303005949796,1395,1,0.07168458781362007,0
Industrial-1395,20262020,alpha_50_default_prior,perspective_pair,11.328006803399683,14.336917562724013,41.46953405017921,100.0,0,2790,0.032593334551272335,2790,0,0.0,0
Industrial-1395,20262020,alpha_50_default_prior,projective_three,11.609450921234513,13.620071684587815,39.61768219832736,100.0,0,4185,0.031458657369498155,4185,1,0.023894862604540025,0
Industrial-1395,20262020,alpha_100_default_prior,all_conditions,11.591215145480657,15.806451612903224,42.89127837514934,100.0,0,8370,0.0,8370,175,2.090800477897252,0
