method,seed,phase,epoch,metric,value
resnet18,20262020,source_model,41,skipped_optimizer_steps,0
resnet18,20262020,source_model,41,unique_training_images,16000
resnet18,20262020,source_model,41,image_condition_rows,16000
resnet18,20262020,source_model,42,loss,0.0026797426833072677
resnet18,20262020,source_model,42,nmae,0.007883730713278055
resnet18,20262020,source_model,42,samples,16000.0
resnet18,20262020,source_model,42,optimizer_steps,250
resnet18,20262020,source_model,42,skipped_optimizer_steps,0
resnet18,20262020,source_model,42,unique_training_images,16000
resnet18,20262020,source_model,42,image_condition_rows,16000
resnet18,20262020,source_model,43,loss,0.002503652078215964
resnet18,20262020,source_model,43,nmae,0.007589580332860351
resnet18,20262020,source_model,43,samples,16000.0
resnet18,20262020,source_model,43,optimizer_steps,250
resnet18,20262020,source_model,43,skipped_optimizer_steps,0
resnet18,20262020,source_model,43,unique_training_images,16000
resnet18,20262020,source_model,43,image_condition_rows,16000
resnet18,20262020,source_model,44,loss,0.0025097753488807937
resnet18,20262020,source_model,44,nmae,0.007577513128519058
resnet18,20262020,source_model,44,samples,16000.0
resnet18,20262020,source_model,44,optimizer_steps,250
resnet18,20262020,source_model,44,skipped_optimizer_steps,0
resnet18,20262020,source_model,44,unique_training_images,16000
resnet18,20262020,source_model,44,image_condition_rows,16000
resnet18,20262020,source_model,45,loss,0.0026254866706440223
resnet18,20262020,source_model,45,nmae,0.00769016957655549
resnet18,20262020,source_model,45,samples,16000.0
resnet18,20262020,source_model,45,optimizer_steps,249
resnet18,20262020,source_model,45,skipped_optimizer_steps,1
resnet18,20262020,source_model,45,unique_training_images,16000
resnet18,20262020,source_model,45,image_condition_rows,16000
resnet18,20262020,source_model,46,loss,0.0022573658667388373
resnet18,20262020,source_model,46,nmae,0.007154329217039048
resnet18,20262020,source_model,46,samples,16000.0
resnet18,20262020,source_model,46,optimizer_steps,250
resnet18,20262020,source_model,46,skipped_optimizer_steps,0
resnet18,20262020,source_model,46,unique_training_images,16000
resnet18,20262020,source_model,46,image_condition_rows,16000
resnet18,20262020,source_model,47,loss,0.002547149447433185
resnet18,20262020,source_model,47,nmae,0.007289459835737944
resnet18,20262020,source_model,47,samples,16000.0
resnet18,20262020,source_model,47,optimizer_steps,250
resnet18,20262020,source_model,47,skipped_optimizer_steps,0
resnet18,20262020,source_model,47,unique_training_images,16000
resnet18,20262020,source_model,47,image_condition_rows,16000
resnet18,20262020,source_model,48,loss,0.0022293318713782354
resnet18,20262020,source_model,48,nmae,0.00697915867343545
resnet18,20262020,source_model,48,samples,16000.0
resnet18,20262020,source_model,48,optimizer_steps,250
resnet18,20262020,source_model,48,skipped_optimizer_steps,0
resnet18,20262020,source_model,48,unique_training_images,16000
resnet18,20262020,source_model,48,image_condition_rows,16000
resnet18,20262020,source_model,49,loss,0.002125207031145692
resnet18,20262020,source_model,49,nmae,0.0068290072921663525
resnet18,20262020,source_model,49,samples,16000.0
resnet18,20262020,source_model,49,optimizer_steps,250
resnet18,20262020,source_model,49,skipped_optimizer_steps,0
resnet18,20262020,source_model,49,unique_training_images,16000
resnet18,20262020,source_model,49,image_condition_rows,16000
resnet18,20262020,source_model,50,loss,0.0023007624757592567
resnet18,20262020,source_model,50,nmae,0.006957416268996894
resnet18,20262020,source_model,50,samples,16000.0
resnet18,20262020,source_model,50,optimizer_steps,250
resnet18,20262020,source_model,50,skipped_optimizer_steps,0
resnet18,20262020,source_model,50,unique_training_images,16000
resnet18,20262020,source_model,50,image_condition_rows,16000
resnet18,20262020,source_model,51,loss,0.0019487317765597254
resnet18,20262020,source_model,51,nmae,0.006468719988130033
resnet18,20262020,source_model,51,samples,16000.0
resnet18,20262020,source_model,51,optimizer_steps,250
resnet18,20262020,source_model,51,skipped_optimizer_steps,0
resnet18,20262020,source_model,51,unique_training_images,16000
resnet18,20262020,source_model,51,image_condition_rows,16000
resnet18,20262020,source_model,52,loss,0.002239973931631539
resnet18,20262020,source_model,52,nmae,0.006831312973052263
resnet18,20262020,source_model,52,samples,16000.0
resnet18,20262020,source_model,52,optimizer_steps,250
resnet18,20262020,source_model,52,skipped_optimizer_steps,0
resnet18,20262020,source_model,52,unique_training_images,16000
resnet18,20262020,source_model,52,image_condition_rows,16000
resnet18,20262020,source_model,53,loss,0.0017894656513817609
resnet18,20262020,source_model,53,nmae,0.006420678149908781
resnet18,20262020,source_model,53,samples,16000.0
resnet18,20262020,source_model,53,optimizer_steps,250
resnet18,20262020,source_model,53,skipped_optimizer_steps,0
resnet18,20262020,source_model,53,unique_training_images,16000
resnet18,20262020,source_model,53,image_condition_rows,16000
resnet18,20262020,source_model,54,loss,0.0018188812895677984
resnet18,20262020,source_model,54,nmae,0.006249915543012321
resnet18,20262020,source_model,54,samples,16000.0
resnet18,20262020,source_model,54,optimizer_steps,250
resnet18,20262020,source_model,54,skipped_optimizer_steps,0
resnet18,20262020,source_model,54,unique_training_images,16000
resnet18,20262020,source_model,54,image_condition_rows,16000
resnet18,20262020,source_model,55,loss,0.0020540503099909986
resnet18,20262020,source_model,55,nmae,0.0064871654668822885
resnet18,20262020,source_model,55,samples,16000.0
resnet18,20262020,source_model,55,optimizer_steps,250
resnet18,20262020,source_model,55,skipped_optimizer_steps,0
resnet18,20262020,source_model,55,unique_training_images,16000
resnet18,20262020,source_model,55,image_condition_rows,16000
resnet18,20262020,source_model,56,loss,0.0019973586568958128
resnet18,20262020,source_model,56,nmae,0.006408635902218521
resnet18,20262020,source_model,56,samples,16000.0
resnet18,20262020,source_model,56,optimizer_steps,250
resnet18,20262020,source_model,56,skipped_optimizer_steps,0
resnet18,20262020,source_model,56,unique_training_images,16000
resnet18,20262020,source_model,56,image_condition_rows,16000
resnet18,20262020,source_model,57,loss,0.0021235541208297947
resnet18,20262020,source_model,57,nmae,0.006574737484566867
resnet18,20262020,source_model,57,samples,16000.0
resnet18,20262020,source_model,57,optimizer_steps,250
resnet18,20262020,source_model,57,skipped_optimizer_steps,0
resnet18,20262020,source_model,57,unique_training_images,16000
resnet18,20262020,source_model,57,image_condition_rows,16000
resnet18,20262020,source_model,58,loss,0.002124194229894783
resnet18,20262020,source_model,58,nmae,0.006526048132218421
resnet18,20262020,source_model,58,samples,16000.0
resnet18,20262020,source_model,58,optimizer_steps,250
resnet18,20262020,source_model,58,skipped_optimizer_steps,0
resnet18,20262020,source_model,58,unique_training_images,16000
resnet18,20262020,source_model,58,image_condition_rows,16000
resnet18,20262020,source_model,59,loss,0.0022433360065333544
resnet18,20262020,source_model,59,nmae,0.006671376285143197
resnet18,20262020,source_model,59,samples,16000.0
resnet18,20262020,source_model,59,optimizer_steps,250
resnet18,20262020,source_model,59,skipped_optimizer_steps,0
resnet18,20262020,source_model,59,unique_training_images,16000
resnet18,20262020,source_model,59,image_condition_rows,16000
resnet18,20262020,source_model,60,loss,0.0020512682410189884
resnet18,20262020,source_model,60,nmae,0.006425291850231588
resnet18,20262020,source_model,60,samples,16000.0
resnet18,20262020,source_model,60,optimizer_steps,250
resnet18,20262020,source_model,60,skipped_optimizer_steps,0
resnet18,20262020,source_model,60,unique_training_images,16000
resnet18,20262020,source_model,60,image_condition_rows,16000
resnet18,20262021,source_model,1,loss,0.07744042980670929
resnet18,20262021,source_model,1,nmae,0.09815137793123722
resnet18,20262021,source_model,1,samples,16000.0
resnet18,20262021,source_model,1,optimizer_steps,250
resnet18,20262021,source_model,1,skipped_optimizer_steps,0
resnet18,20262021,source_model,1,unique_training_images,16000
resnet18,20262021,source_model,1,image_condition_rows,16000
resnet18,20262021,source_model,2,loss,0.032390914835035804
resnet18,20262021,source_model,2,nmae,0.05025549877434969
resnet18,20262021,source_model,2,samples,16000.0
resnet18,20262021,source_model,2,optimizer_steps,250
resnet18,20262021,source_model,2,skipped_optimizer_steps,0
resnet18,20262021,source_model,2,unique_training_images,16000
resnet18,20262021,source_model,2,image_condition_rows,16000
resnet18,20262021,source_model,3,loss,0.02281961536034942
resnet18,20262021,source_model,3,nmae,0.03929572743922472
resnet18,20262021,source_model,3,samples,16000.0
resnet18,20262021,source_model,3,optimizer_steps,250
resnet18,20262021,source_model,3,skipped_optimizer_steps,0
resnet18,20262021,source_model,3,unique_training_images,16000
resnet18,20262021,source_model,3,image_condition_rows,16000
resnet18,20262021,source_model,4,loss,0.01804661257378757
resnet18,20262021,source_model,4,nmae,0.03397249756753445
resnet18,20262021,source_model,4,samples,16000.0
resnet18,20262021,source_model,4,optimizer_steps,250
resnet18,20262021,source_model,4,skipped_optimizer_steps,0
resnet18,20262021,source_model,4,unique_training_images,16000
resnet18,20262021,source_model,4,image_condition_rows,16000
resnet18,20262021,source_model,5,loss,0.015057262578979134
resnet18,20262021,source_model,5,nmae,0.029731744028627872
resnet18,20262021,source_model,5,samples,16000.0
resnet18,20262021,source_model,5,optimizer_steps,250
resnet18,20262021,source_model,5,skipped_optimizer_steps,0
resnet18,20262021,source_model,5,unique_training_images,16000
resnet18,20262021,source_model,5,image_condition_rows,16000
resnet18,20262021,source_model,6,loss,0.011319065017625689
resnet18,20262021,source_model,6,nmae,0.024323239408433436
resnet18,20262021,source_model,6,samples,16000.0
resnet18,20262021,source_model,6,optimizer_steps,250
resnet18,20262021,source_model,6,skipped_optimizer_steps,0
resnet18,20262021,source_model,6,unique_training_images,16000
resnet18,20262021,source_model,6,image_condition_rows,16000
resnet18,20262021,source_model,7,loss,0.011419989452697336
resnet18,20262021,source_model,7,nmae,0.024637469798326494
resnet18,20262021,source_model,7,samples,16000.0
resnet18,20262021,source_model,7,optimizer_steps,250
resnet18,20262021,source_model,7,skipped_optimizer_steps,0
resnet18,20262021,source_model,7,unique_training_images,16000
resnet18,20262021,source_model,7,image_condition_rows,16000
resnet18,20262021,source_model,8,loss,0.010596528430469335
resnet18,20262021,source_model,8,nmae,0.02349031712859869
resnet18,20262021,source_model,8,samples,16000.0
resnet18,20262021,source_model,8,optimizer_steps,250
resnet18,20262021,source_model,8,skipped_optimizer_steps,0
resnet18,20262021,source_model,8,unique_training_images,16000
resnet18,20262021,source_model,8,image_condition_rows,16000
resnet18,20262021,source_model,9,loss,0.009000683324411512
resnet18,20262021,source_model,9,nmae,0.020791583094745873
resnet18,20262021,source_model,9,samples,16000.0
