method,seed,phase,epoch,accounting_scope,optimization_phase,phase_epoch,learning_rate,training_hours,population,unique_training_images,image_condition_rows,optimizer_steps,validation_and_other_epoch_hours,recorded_epoch_hours
resnet18,20262021,source_model,46,final_recipe,continuation,16,1.5000000000000005e-05,0.015373046861237121,full,16000,16000,250,0.0,0.015373052722231174
resnet18,20262021,source_model,47,final_recipe,continuation,17,1.3432073050985203e-05,0.015366237111156806,full,16000,16000,250,0.0,0.0153662416666177
resnet18,20262021,source_model,48,final_recipe,continuation,18,1.188132463773361e-05,0.0153843366388335,full,16000,16000,250,0.0,0.015384342944404732
resnet18,20262021,source_model,49,final_recipe,continuation,19,1.036474508437579e-05,0.015378731777762167,full,16000,16000,250,0.0,0.015378736527765998
resnet18,20262021,source_model,50,final_recipe,continuation,20,8.898950353862998e-06,0.015355329833303889,full,16000,16000,250,0.0,0.01535533474991098
resnet18,20262021,source_model,51,final_recipe,continuation,21,7.5000000000000044e-06,0.015350794277878272,full,16000,16000,250,0.0,0.015350799194485364
resnet18,20262021,source_model,52,final_recipe,continuation,22,6.183221215612905e-06,0.015362650027834913,full,16000,16000,249,0.0,0.015362655055553964
resnet18,20262021,source_model,53,final_recipe,continuation,23,4.963040904617132e-06,0.015399937527771626,full,16000,16000,249,0.0,0.015399942361077086
resnet18,20262021,source_model,54,final_recipe,continuation,24,3.852827617839089e-06,0.015293481888948008,full,16000,16000,250,0.0,0.01529348619450401
resnet18,20262021,source_model,55,final_recipe,continuation,25,2.8647450843757908e-06,0.015306740361136488,full,16000,16000,250,0.0,0.015306745166760973
resnet18,20262021,source_model,56,final_recipe,continuation,26,2.0096189432334203e-06,0.015375458111132806,full,16000,16000,250,0.0,0.0153754626665937
resnet18,20262021,source_model,57,final_recipe,continuation,27,1.2968181353609858e-06,0.015355328111003878,full,16000,16000,250,0.0,0.015355333555489778
resnet18,20262021,source_model,58,final_recipe,continuation,28,7.341522555726972e-07,0.015324016749962336,full,16000,16000,250,0.0,0.015324021666698778
resnet18,20262021,source_model,59,final_recipe,continuation,29,3.277859889929148e-07,0.015429062916664406,full,16000,16000,250,0.0,0.015429068583374223
resnet18,20262021,source_model,60,final_recipe,continuation,30,8.2171569475899e-08,0.015338762166599433,full,16000,16000,250,0.0,0.015338766888792937
resnet18,20262022,source_model,1,final_recipe,initial,1,0.0003,0.015528832361127974,full,16000,16000,250,0.0,0.015528838250061704
resnet18,20262022,source_model,2,final_recipe,initial,2,0.00029917828430524096,0.015392842722228831,full,16000,16000,250,0.0,0.015392848500050604
resnet18,20262022,source_model,3,final_recipe,initial,3,0.0002967221401100708,0.015342947277757856,full,16000,16000,250,0.0,0.015342953777872027
resnet18,20262022,source_model,4,final_recipe,initial,4,0.00029265847744427303,0.015376048305511682,full,16000,16000,250,0.0,0.015376054222126389
resnet18,20262022,source_model,5,final_recipe,initial,5,0.0002870318186463901,0.015409949694423834,full,16000,16000,250,0.0,0.015409956249899956
resnet18,20262022,source_model,6,final_recipe,initial,6,0.0002799038105676658,0.01541291144443676,full,16000,16000,250,0.0,0.015412916861112333
resnet18,20262022,source_model,7,final_recipe,initial,7,0.0002713525491562421,0.015370648305526832,full,16000,16000,250,0.0,0.01537065549999372
resnet18,20262022,source_model,8,final_recipe,initial,8,0.00026147172382160914,0.015276532388783784,full,16000,16000,250,0.0,0.015276538722165342
resnet18,20262022,source_model,9,final_recipe,initial,9,0.00025036959095382875,0.015470334499970905,full,16000,16000,250,0.0,0.015470339527689956
resnet18,20262022,source_model,10,final_recipe,initial,10,0.000238167787843871,0.015400782555548682,full,16000,16000,250,0.0,0.01540078741666447
resnet18,20262022,source_model,11,final_recipe,initial,11,0.00022500000000000002,0.015443065861084808,full,16000,16000,250,0.0,0.01544307069439027
resnet18,20262022,source_model,12,final_recipe,initial,12,0.0002110104964613701,0.015455894472284449,full,16000,16000,250,0.0,0.015455899805529043
resnet18,20262022,source_model,13,final_recipe,initial,13,0.00019635254915624216,0.01545973813885616,full,16000,16000,250,0.0,0.0154597426389551
resnet18,20262022,source_model,14,final_recipe,initial,14,0.00018118675362266393,0.015305097250060903,full,16000,16000,250,0.0,0.015305101972254407
resnet18,20262022,source_model,15,final_recipe,initial,15,0.0001656792694901481,0.01543133758331856,full,16000,16000,250,0.0,0.015431342388813694
resnet18,20262022,source_model,16,final_recipe,initial,16,0.0001500000000000001,0.015345950611194389,full,16000,16000,250,0.0,0.015345955583422135
resnet18,20262022,source_model,17,final_recipe,initial,17,0.00013432073050985205,0.015271144333269654,full,16000,16000,250,0.0,0.015271149444419683
resnet18,20262022,source_model,18,final_recipe,initial,18,0.00011881324637733612,0.015344206277772577,full,16000,16000,250,0.0,0.015344211388793256
resnet18,20262022,source_model,19,final_recipe,initial,19,0.00010364745084375793,0.015280996888953572,full,16000,16000,250,0.0,0.01528100158333675
resnet18,20262022,source_model,20,final_recipe,initial,20,8.898950353863e-05,0.01539208197215986,full,16000,16000,250,0.0,0.015392087222232172
resnet18,20262022,source_model,21,final_recipe,initial,21,7.500000000000006e-05,0.015374334833274285,full,16000,16000,250,0.0,0.015374340055536272
resnet18,20262022,source_model,22,final_recipe,initial,22,6.183221215612908e-05,0.015386055583367125,full,16000,16000,250,0.0,0.015386060333370956
resnet18,20262022,source_model,23,final_recipe,initial,23,4.963040904617134e-05,0.015338038305570888,full,16000,16000,250,0.0,0.015338043444531246
resnet18,20262022,source_model,24,final_recipe,initial,24,3.85282761783909e-05,0.015277241333387792,full,16000,16000,250,0.0,0.015277246333425865
resnet18,20262022,source_model,25,final_recipe,initial,25,2.8647450843757918e-05,0.015408065555513733,full,16000,16000,250,0.0,0.015408070361138218
resnet18,20262022,source_model,26,final_recipe,initial,26,2.0096189432334208e-05,0.015374618249997083,full,16000,16000,250,0.0,0.015374623277845481
resnet18,20262022,source_model,27,final_recipe,initial,27,1.2968181353609862e-05,0.015390686388903608,full,16000,16000,250,0.0,0.015390690972304178
resnet18,20262022,source_model,28,final_recipe,initial,28,7.341522555726975e-06,0.015322385527736819,full,16000,16000,250,0.0,0.015322390083327062
resnet18,20262022,source_model,29,final_recipe,initial,29,3.277859889929149e-06,0.015289602138929896,full,16000,16000,250,0.0,0.0152896072222696
resnet18,20262022,source_model,30,final_recipe,initial,30,8.217156947589904e-07,0.015398917944532716,full,16000,16000,250,0.0,0.015398922888950135
resnet18,20262022,source_model,31,final_recipe,continuation,1,3e-05,0.015363903222217534,full,16000,16000,250,0.0,0.015363908611082782
resnet18,20262022,source_model,32,final_recipe,continuation,2,2.99178284305241e-05,0.015318727583313981,full,16000,16000,250,0.0,0.015318732194395529
resnet18,20262022,source_model,33,final_recipe,continuation,3,2.9672214011007083e-05,0.015402570083323451,full,16000,16000,249,0.0,0.015402577111187081
resnet18,20262022,source_model,34,final_recipe,continuation,4,2.9265847744427305e-05,0.015342093416644881,full,16000,16000,250,0.0,0.015342099416690569
resnet18,20262022,source_model,35,final_recipe,continuation,5,2.870318186463901e-05,0.015325621111163248,full,16000,16000,250,0.0,0.015325625694434469
resnet18,20262022,source_model,36,final_recipe,continuation,6,2.7990381056766583e-05,0.015366171055550997,full,16000,16000,250,0.0,0.015366176111080373
resnet18,20262022,source_model,37,final_recipe,continuation,7,2.7135254915624213e-05,0.015398657583347004,full,16000,16000,250,0.0,0.01539866211112692
resnet18,20262022,source_model,38,final_recipe,continuation,8,2.6147172382160913e-05,0.015338384277808169,full,16000,16000,250,0.0,0.0153383893889582
resnet18,20262022,source_model,39,final_recipe,continuation,9,2.503695909538287e-05,0.01549702469440591,full,16000,16000,250,0.0,0.01549702997228855
resnet18,20262022,source_model,40,final_recipe,continuation,10,2.3816778784387094e-05,0.015291389250067166,full,16000,16000,250,0.0,0.015291394111182955
resnet18,20262022,source_model,41,final_recipe,continuation,11,2.2499999999999998e-05,0.015285947555546752,full,16000,16000,250,0.0,0.015285952944412
resnet18,20262022,source_model,42,final_recipe,continuation,12,2.1101049646137004e-05,0.015365391083372136,full,16000,16000,250,0.0,0.015365395861056943
resnet18,20262022,source_model,43,final_recipe,continuation,13,1.963525491562421e-05,0.01536227716663335,full,16000,16000,250,0.0,0.015362282666610555
resnet18,20262022,source_model,44,final_recipe,continuation,14,1.8118675362266388e-05,0.015354513444472105,full,16000,16000,250,0.0,0.015354519722233008
resnet18,20262022,source_model,45,final_recipe,continuation,15,1.6567926949014805e-05,0.01537846452776446,full,16000,16000,250,0.0,0.01537846955548351
resnet18,20262022,source_model,46,final_recipe,continuation,16,1.5000000000000005e-05,0.015321448027777174,full,16000,16000,250,0.0,0.015321453083306551
resnet18,20262022,source_model,47,final_recipe,continuation,17,1.3432073050985203e-05,0.015280094916621844,full,16000,16000,249,0.0,0.015280100305487092
resnet18,20262022,source_model,48,final_recipe,continuation,18,1.188132463773361e-05,0.015335255222291582,full,16000,16000,250,0.0,0.015335259861183457
resnet18,20262022,source_model,49,final_recipe,continuation,19,1.036474508437579e-05,0.015310361611061833,full,16000,16000,250,0.0,0.015310366194462403
resnet18,20262022,source_model,50,final_recipe,continuation,20,8.898950353862998e-06,0.015426759388841067,full,16000,16000,250,0.0,0.015426768777736773
resnet18,20262022,source_model,51,final_recipe,continuation,21,7.5000000000000044e-06,0.015368913972181165,full,16000,16000,250,0.0,0.015368918611073038
resnet18,20262022,source_model,52,final_recipe,continuation,22,6.183221215612905e-06,0.015321577194457254,full,16000,16000,250,0.0,0.015321581972271412
resnet18,20262022,source_model,53,final_recipe,continuation,23,4.963040904617132e-06,0.015287603833324587,full,16000,16000,250,0.0,0.015287608944474616
resnet18,20262022,source_model,54,final_recipe,continuation,24,3.852827617839089e-06,0.015342203305594417,full,16000,16000,250,0.0,0.015342208361123792
resnet18,20262022,source_model,55,final_recipe,continuation,25,2.8647450843757908e-06,0.015308893361232347,full,16000,16000,250,0.0,0.015308898222348136
resnet18,20262022,source_model,56,final_recipe,continuation,26,2.0096189432334203e-06,0.015385877833339489,full,16000,16000,250,0.0,0.015385882638834624
resnet18,20262022,source_model,57,final_recipe,continuation,27,1.2968181353609858e-06,0.015338277999932566,full,16000,16000,250,0.0,0.015338283055461943
resnet18,20262022,source_model,58,final_recipe,continuation,28,7.341522555726972e-07,0.015314583694432966,full,16000,16000,250,0.0,0.01531458833332484
resnet18,20262022,source_model,59,final_recipe,continuation,29,3.277859889929148e-07,0.015403085694415494,full,16000,16000,250,0.0,0.01540309066664324
resnet18,20262022,source_model,60,final_recipe,continuation,30,8.2171569475899e-08,0.015294251277809963,full,16000,16000,250,0.0,0.015294256222227381
efficientnet_b0,20262020,source_model,1,final_recipe,initial,1,0.0003,0.018406607972121694,full,16000,16000,250,0.0,0.01840661405546901
efficientnet_b0,20262020,source_model,2,final_recipe,initial,2,0.00029917828430524096,0.016160097944472606,full,16000,16000,250,0.0,0.016160105388844385
efficientnet_b0,20262020,source_model,3,final_recipe,initial,3,0.0002967221401100708,0.016010770638887253,full,16000,16000,250,0.0,0.01601077661112261
efficientnet_b0,20262020,source_model,4,final_recipe,initial,4,0.00029265847744427303,0.016143156389007346,full,16000,16000,250,0.0,0.016143162500035637
efficientnet_b0,20262020,source_model,5,final_recipe,initial,5,0.0002870318186463901,0.01630526927778394,full,16000,16000,250,0.0,0.01630527549992419
efficientnet_b0,20262020,source_model,6,final_recipe,initial,6,0.0002799038105676658,0.016338907999969603,full,16000,16000,250,0.0,0.016338913555438112
efficientnet_b0,20262020,source_model,7,final_recipe,initial,7,0.0002713525491562421,0.01625040458334196,full,16000,16000,250,0.0,0.016250410611068623
efficientnet_b0,20262020,source_model,8,final_recipe,initial,8,0.00026147172382160914,0.01607103294434233,full,16000,16000,250,0.0,0.016071039110991277
efficientnet_b0,20262020,source_model,9,final_recipe,initial,9,0.00025036959095382875,0.01629575425008726,full,16000,16000,250,0.0,0.016295759500030222
efficientnet_b0,20262020,source_model,10,final_recipe,initial,10,0.000238167787843871,0.016374078861101427,full,16000,16000,250,0.0,0.016374083888949828
efficientnet_b0,20262020,source_model,11,final_recipe,initial,11,0.00022500000000000002,0.016372918444426936,full,16000,16000,250,0.0,0.01637292316662044
efficientnet_b0,20262020,source_model,12,final_recipe,initial,12,0.0002110104964613701,0.016600915611100695,full,16000,16000,250,0.0,0.016600920916664312
efficientnet_b0,20262020,source_model,13,final_recipe,initial,13,0.00019635254915624216,0.016419682333297613,full,16000,16000,250,0.0,0.016419688611058518
efficientnet_b0,20262020,source_model,14,final_recipe,initial,14,0.00018118675362266393,0.016170411555536297,full,16000,16000,250,0.0,0.0161704162222385
efficientnet_b0,20262020,source_model,15,final_recipe,initial,15,0.0001656792694901481,0.016268881027741978,full,16000,16000,250,0.0,0.016268885999969725
efficientnet_b0,20262020,source_model,16,final_recipe,initial,16,0.0001500000000000001,0.016258514722317666,full,16000,16000,250,0.0,0.016258520083372585
efficientnet_b0,20262020,source_model,17,final_recipe,initial,17,0.00013432073050985205,0.01615917294454347,full,16000,16000,250,0.0,0.016159177833340234
