dataset,method,scope,seed_count,images,rows,groups,nmae_pct_fs_mean,nmae_pct_fs_sample_sd,acc_at_2_pct_mean,acc_at_2_pct_sample_sd,acc_at_5_pct_mean,acc_at_5_pct_sample_sd,coverage_pct_mean,coverage_pct_sample_sd,failures_mean,failures_sample_sd
rf100,original_geoprr,clean,3,151,151,35,6.052349743046704,1.7371405336840602,48.565121412803535,3.880440580849215,73.9514348785872,4.651502760641389,100.0,0.0,0.0,0.0
rf100,original_geoprr,blur_moderate,3,151,151,35,5.867338530937182,1.6842090159581389,49.66887417218543,3.504306372270978,73.9514348785872,3.333260236322632,100.0,0.0,0.0,0.0
rf100,original_geoprr,blur_severe,3,151,151,35,5.513550515957373,1.6920826701266511,50.11037527593819,3.0588093731900656,77.04194260485652,5.311792236430888,100.0,0.0,0.0,0.0
rf100,original_geoprr,perspective_moderate,3,151,151,35,5.3877054677654606,1.5631594391278358,42.3841059602649,4.588214059785106,72.62693156732892,5.709720598842195,100.0,0.0,0.0,0.0
rf100,original_geoprr,perspective_severe,3,151,151,35,5.832153110156628,1.1239633244138147,41.280353200883006,6.666520472645254,71.96467991169979,4.257682455184527,100.0,0.0,0.0,0.0
rf100,original_geoprr,combined_severe,3,151,151,35,5.467595977031389,0.4698910113992258,37.086092715231786,0.6622516556291416,72.40618101545253,3.0588093731900656,100.0,0.0,0.0,0.0
rf100,original_geoprr,perspective_pair,3,151,302,35,5.609929288961045,1.3419004591587318,41.83222958057396,5.352916403082622,72.29580573951434,4.959523606768419,100.0,0.0,0.0,0.0
rf100,original_geoprr,projective_three,3,151,453,35,5.562484851651161,1.0478986974790077,40.25018395879322,3.492698833349764,72.33259749816041,4.096295999916639,100.0,0.0,0.0,0.0
rf100,raw_full,all_conditions,3,151,906,35,4.6057210443837855,0.5570178090725277,45.21707137601177,2.549007810991728,74.35614422369389,2.7401833968161062,100.0,0.0,0.0,0.0
rf100,raw_full,clean,3,151,151,35,3.3146532979001435,0.5191438515560842,58.05739514348786,1.3785867546133352,84.10596026490067,2.8866880420799124,100.0,0.0,0.0,0.0
rf100,raw_full,blur_moderate,3,151,151,35,3.1736387779277435,0.47799434539137253,58.94039735099337,1.752153186135493,85.6512141280353,1.9117558582437888,100.0,0.0,0.0,0.0
rf100,raw_full,blur_severe,3,151,151,35,2.947629701945948,0.4640663177894592,61.36865342163356,1.6666301181613126,87.41721854304636,1.7521531861354864,100.0,0.0,0.0,0.0
rf100,raw_full,perspective_moderate,3,151,151,35,3.933718954892195,0.5128845152364138,44.81236203090507,5.058030568383931,79.69094922737307,0.7647023432975122,100.0,0.0,0.0,0.0
rf100,raw_full,perspective_severe,3,151,151,35,7.068843224883948,0.7739929777220876,24.282560706401767,3.3984115493025726,54.966887417218544,7.6374586719674165,100.0,0.0,0.0,0.0
rf100,raw_full,combined_severe,3,151,151,35,7.195842308752737,0.9783404507188096,23.841059602649008,5.256459558406471,54.3046357615894,5.42076342508109,100.0,0.0,0.0,0.0
rf100,raw_full,perspective_pair,3,151,302,35,5.501281089888071,0.5942774040343952,34.54746136865342,3.721791456972927,67.3289183222958,3.571454677122173,100.0,0.0,0.0,0.0
rf100,raw_full,projective_three,3,151,453,35,6.066134829509626,0.7069791532573099,30.97866077998528,4.225129424563823,62.987490802060336,4.172905630245131,100.0,0.0,0.0,0.0
industrial,shared_full,all_conditions,3,1395,8370,52,11.623503306597366,1.6030251902538277,24.06610911987256,2.6147229319984513,51.808044603743525,3.3372777913430585,100.0,0.0,0.0,0.0
industrial,shared_full,clean,3,1395,1395,52,12.244004372240584,2.0520196985777064,23.39307048984468,2.6536210489609204,52.04301075268817,2.1119598369399624,100.0,0.0,0.0,0.0
industrial,shared_full,blur_moderate,3,1395,1395,52,12.199322686115734,2.0602660422319277,24.038231780167262,2.098943011325949,52.18637992831541,2.0639684657903894,100.0,0.0,0.0,0.0
industrial,shared_full,blur_severe,3,1395,1395,52,12.320650535300432,2.3077893697845586,23.584229390681003,1.7069363297190898,51.85185185185185,1.9740396226831898,100.0,0.0,0.0,0.0
industrial,shared_full,perspective_moderate,3,1395,1395,52,10.508071511446039,1.3077173597308178,24.778972520908003,2.5041770408633575,53.572281959378735,4.313800371382273,100.0,0.0,0.0,0.0
industrial,shared_full,perspective_severe,3,1395,1395,52,11.603921939772173,1.2319839767426277,23.966547192353644,5.181825602301919,49.7252090800478,5.749681919004046,100.0,0.0,0.0,0.0
industrial,shared_full,combined_severe,3,1395,1395,52,10.865048794709232,1.379836282209611,24.63560334528076,3.7154014214590294,51.46953405017921,5.167260585215798,100.0,0.0,0.0,0.0
industrial,shared_full,perspective_pair,3,1395,2790,52,11.055996725609106,1.257698821368273,24.372759856630825,3.7198361415633183,51.64874551971326,4.860299636611877,100.0,0.0,0.0,0.0
industrial,shared_full,projective_three,3,1395,4185,52,10.992347415309148,1.2978680004224796,24.46037435284747,3.717961789907132,51.58900836320191,4.939710225824627,100.0,0.0,0.0,0.0
