model_protocol,method,scope,seed,images,rows,groups,nmae_pct_fs,acc_at_5_pct
shared_full_20260911,shared_full,combined_severe,20262021,4000,4000,145,1.027635666185411,97.75
shared_full_20260911,shared_full,combined_severe,20262022,4000,4000,145,1.0044250012217064,97.52499999999999
official_syncg_fulltrain_20260908,no_geometry_fusion,combined_severe,20262020,4000,4000,145,2.467843826628665,90.225
official_syncg_fulltrain_20260908,no_geometry_fusion,combined_severe,20262021,4000,4000,145,2.486581112064456,90.425
official_syncg_fulltrain_20260908,no_geometry_fusion,combined_severe,20262022,4000,4000,145,2.4164584937996674,90.47500000000001
official_syncg_fulltrain_20260908,fixed_routing,combined_severe,20262020,4000,4000,145,1.6006699687425525,94.875
official_syncg_fulltrain_20260908,fixed_routing,combined_severe,20262021,4000,4000,145,1.66313898952058,94.375
official_syncg_fulltrain_20260908,fixed_routing,combined_severe,20262022,4000,4000,145,1.5938144558813176,95.025
official_syncg_fulltrain_20260908,no_relational_transport,combined_severe,20262020,4000,4000,145,1.3301192565195945,96.675
official_syncg_fulltrain_20260908,no_relational_transport,combined_severe,20262021,4000,4000,145,1.4321574189097175,96.075
official_syncg_fulltrain_20260908,no_relational_transport,combined_severe,20262022,4000,4000,145,1.334154486392027,96.8
