section,source_table,cohort,method,candidate,reference,seed,aggregation,scope,condition,angle_degrees,metric,statistic,value,unit,sample_sd,ci95_low,ci95_high,images,rows,groups,source_seeds,ensemble_members,notes
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,60.848611111111104,percent_full_scale_or_percent,1.2291760828264549,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,80.07083333333333,percent_full_scale_or_percent,1.4958507427027792,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,96.23194444444444,percent_full_scale_or_percent,0.2342368419957595,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,1.2725385893273697,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,2.5597839816664507,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,62.63333333333333,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,81.6125,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,96.72083333333333,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,1.2417925761181525,percent_full_scale_or_percent,0.041691718408584565,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,2.4963801709458315,percent_full_scale_or_percent,0.0732369460856796,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,63.5375,percent_full_scale_or_percent,1.325085164977879,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,82.49166666666667,percent_full_scale_or_percent,1.3937546711431412,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,97.00277777777778,percent_full_scale_or_percent,0.25243031675061006,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,1.1482492089806733,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,2.3073487394337735,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,65.6375,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,84.10416666666667,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,97.375,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fusion,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,0.752396757093892,percent_full_scale_or_percent,0.022896863985545777,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,1.7619271184538363,percent_full_scale_or_percent,0.04911975492590937,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,80.84166666666667,percent_full_scale_or_percent,0.8155178995242507,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,93.92222222222222,percent_full_scale_or_percent,0.24791958448330056,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,98.89305555555556,percent_full_scale_or_percent,0.03780738219115122,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,0.6482877221500126,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,1.6094145765077155,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,85.1625,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,95.42916666666666,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,99.0375,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_polar_evidence,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,0.7914886640501209,percent_full_scale_or_percent,0.020551502656500627,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,1.7987131751947425,percent_full_scale_or_percent,0.05324017201571345,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,78.47638888888888,percent_full_scale_or_percent,0.6504049664404222,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,93.16111111111111,percent_full_scale_or_percent,0.2724736650543456,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,98.84305555555557,percent_full_scale_or_percent,0.07087417123430141,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,0.6908671180625485,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,1.645758649566361,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,82.85833333333333,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,94.65833333333333,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,98.98333333333333,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_relational_transport,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,1.6355317900885389,percent_full_scale_or_percent,0.044032328142669774,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,3.5978726513731965,percent_full_scale_or_percent,0.11709441462438779,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,59.11944444444445,percent_full_scale_or_percent,0.7031715519569013,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,76.61805555555556,percent_full_scale_or_percent,0.8898183075046119,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,93.91944444444444,percent_full_scale_or_percent,0.4473365105864917,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
