数据集,方法,评测条件,基础专家权重,极坐标专家权重,关系专家权重,归一化路由熵,最大权重>0.95占比（%）
RF100-VL,固定先验混合,重度模糊,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
RF100-VL,GeoPRR完整模型,中度透视,0.250 ± 0.024,0.067 ± 0.002,0.683 ± 0.025,0.627 ± 0.040,6.18 ± 3.65
RF100-VL,线性增益头,中度透视,0.273 ± 0.042,0.072 ± 0.005,0.655 ± 0.042,0.647 ± 0.037,6.18 ± 2.68
RF100-VL,11标量MLP门控,中度透视,0.265 ± 0.008,0.060 ± 0.006,0.674 ± 0.012,0.681 ± 0.019,1.32 ± 0.66
RF100-VL,三专家等权混合,中度透视,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
RF100-VL,固定先验混合,中度透视,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
RF100-VL,GeoPRR完整模型,重度透视,0.178 ± 0.014,0.033 ± 0.009,0.789 ± 0.007,0.435 ± 0.009,18.32 ± 4.41
RF100-VL,线性增益头,重度透视,0.179 ± 0.012,0.027 ± 0.008,0.794 ± 0.016,0.418 ± 0.030,21.19 ± 8.06
RF100-VL,11标量MLP门控,重度透视,0.212 ± 0.007,0.033 ± 0.004,0.755 ± 0.011,0.525 ± 0.020,5.96 ± 2.29
RF100-VL,三专家等权混合,重度透视,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
RF100-VL,固定先验混合,重度透视,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
RF100-VL,GeoPRR完整模型,重度复合扰动,0.161 ± 0.014,0.028 ± 0.003,0.811 ± 0.010,0.408 ± 0.003,23.84 ± 0.66
RF100-VL,线性增益头,重度复合扰动,0.168 ± 0.017,0.025 ± 0.009,0.807 ± 0.025,0.401 ± 0.037,22.08 ± 5.06
RF100-VL,11标量MLP门控,重度复合扰动,0.211 ± 0.005,0.031 ± 0.002,0.758 ± 0.006,0.524 ± 0.016,7.06 ± 1.38
RF100-VL,三专家等权混合,重度复合扰动,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
RF100-VL,固定先验混合,重度复合扰动,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
Industrial-1395,GeoPRR完整模型,六条件总体,0.314 ± 0.015,0.182 ± 0.035,0.504 ± 0.025,0.630 ± 0.022,13.75 ± 4.25
Industrial-1395,线性增益头,六条件总体,0.293 ± 0.025,0.200 ± 0.050,0.507 ± 0.028,0.612 ± 0.014,18.53 ± 1.65
Industrial-1395,11标量MLP门控,六条件总体,0.318 ± 0.002,0.197 ± 0.009,0.485 ± 0.010,0.712 ± 0.010,5.88 ± 1.03
Industrial-1395,三专家等权混合,六条件总体,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
Industrial-1395,固定先验混合,六条件总体,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
Industrial-1395,GeoPRR完整模型,无扰动,0.464 ± 0.040,0.338 ± 0.069,0.199 ± 0.029,0.871 ± 0.017,0.26 ± 0.27
Industrial-1395,线性增益头,无扰动,0.436 ± 0.060,0.370 ± 0.094,0.194 ± 0.034,0.870 ± 0.021,0.74 ± 0.35
