figure_id,panel,source_table,cohort,method,reference,aggregation,scope,condition,angle_degrees,metric,value,sample_sd,ci95_low,ci95_high,images,groups,unit
table_paired,all_conditions,syncg/paired.csv,syncg,base_only,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.04166666666666667,,-0.08157676899196473,-7.350326205772764e-18,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,dual_view,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.008967945575649434,,-0.018938450746858508,0.0005751958421087788,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,dual_view,full,seed_mean,all_conditions,,,candidate_minus_reference,0.14583333333333334,,0.0584795321637427,0.23578360623569336,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,fixed_prior,full,seed_mean,all_conditions,,,candidate_minus_reference,0.1549983771275341,,0.14519193027711222,0.16522589799117482,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,fixed_prior,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.5152777777777778,,-0.6211356700243251,-0.415006392383339,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,linear_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,0.0006261464264955272,,-0.0002188606637551743,0.0014630548461958374,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,linear_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.013888888888888888,,-0.02762600744126377,7.083329960560299e-19,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,no_geometry_fixed_routing,full,seed_mean,all_conditions,,,candidate_minus_reference,0.628884107179086,,0.6031496700875172,0.6554920401513042,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,no_geometry_fixed_routing,full,seed_mean,all_conditions,,,candidate_minus_reference,-2.6652777777777783,,-2.9102507594197777,-2.426578042175013,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,no_geometry_fusion,full,seed_mean,all_conditions,,,candidate_minus_reference,0.5014684762627843,,0.48053835998897765,0.523129813742021,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,no_geometry_fusion,full,seed_mean,all_conditions,,,candidate_minus_reference,-1.8944444444444444,,-2.09763633036248,-1.696855132884884,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,no_polar_evidence,full,seed_mean,all_conditions,,,candidate_minus_reference,0.01207265723852389,,0.010430260632589608,0.013705475791836015,4000,145,native_metric
