数据集,对照方法,参考方法,评测条件,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI
SyncG,固定先验混合,GeoPRR完整模型,中度模糊,三seed平均,0.008665,"[0.007382, 0.009913]",0.016667,"[0.000000, 0.042045]"
SyncG,线性增益头,GeoPRR完整模型,中度模糊,三seed平均,0.000774,"[0.000321, 0.001228]",-0.008333,"[-0.025471, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,中度模糊,三seed平均,0.008665,"[0.007382, 0.009913]",0.016667,"[0.000000, 0.042045]"
SyncG,去几何融合,GeoPRR完整模型,中度模糊,三seed平均,-0.001243,"[-0.001781, -0.000697]",-0.008333,"[-0.025471, 0.000000]"
SyncG,去极坐标证据,GeoPRR完整模型,中度模糊,三seed平均,0.025083,"[0.022538, 0.027576]",0.033333,"[0.000000, 0.074869]"
SyncG,去关系传输,GeoPRR完整模型,中度模糊,三seed平均,-0.000096,"[-0.000550, 0.000354]",0.025,"[0.000000, 0.058000]"
SyncG,仅极坐标专家,GeoPRR完整模型,中度模糊,三seed平均,-0.009196,"[-0.012366, -0.006066]",0.016667,"[-0.016567, 0.050226]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,中度模糊,三seed平均,-0.014368,"[-0.035137, 0.007504]",0.116667,"[-0.016776, 0.257373]"
SyncG,仅关系专家,GeoPRR完整模型,中度模糊,三seed平均,0.025083,"[0.022538, 0.027576]",0.033333,"[0.000000, 0.074869]"
SyncG,11标量MLP门控,GeoPRR完整模型,中度模糊,三seed平均,0.002575,"[0.001828, 0.003297]",0.025,"[0.000000, 0.058000]"
SyncG,三专家等权混合,GeoPRR完整模型,中度模糊,三seed平均,0.004333,"[0.003381, 0.005255]",0.025,"[0.000000, 0.058000]"
SyncG,仅几何/基础专家,GeoPRR完整模型,中度模糊,三模型等权集成,0.022628,"[0.019563, 0.025641]",0.05,"[0.000000, 0.126775]"
SyncG,简单双视图回归,GeoPRR完整模型,中度模糊,三模型等权集成,-0.01081,"[-0.019199, -0.002569]",0.05,"[-0.074166, 0.176189]"
SyncG,固定先验混合,GeoPRR完整模型,中度模糊,三模型等权集成,0.007259,"[0.005735, 0.008749]",0.025,"[0.000000, 0.076785]"
