数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
RF100-VL,固定先验混合,重度透视,3.856 ± 0.395,6.198 ± 0.774,26.05 ± 3.77,44.15 ± 3.82,78.15 ± 3.50
RF100-VL,GeoPRR完整模型,重度复合扰动,3.401 ± 0.095,6.073 ± 0.918,25.61 ± 1.38,50.77 ± 2.13,83.66 ± 2.02
RF100-VL,线性增益头,重度复合扰动,3.404 ± 0.066,6.064 ± 0.907,25.17 ± 1.32,50.33 ± 2.39,83.44 ± 2.39
RF100-VL,11标量MLP门控,重度复合扰动,3.414 ± 0.078,6.079 ± 0.906,24.94 ± 2.33,50.55 ± 2.68,83.44 ± 2.39
RF100-VL,三专家等权混合,重度复合扰动,4.152 ± 0.287,6.858 ± 0.831,20.97 ± 2.68,41.72 ± 4.03,75.06 ± 1.91
RF100-VL,固定先验混合,重度复合扰动,3.919 ± 0.233,6.586 ± 0.854,24.28 ± 4.05,44.15 ± 1.53,78.37 ± 1.53
Industrial-1395,GeoPRR完整模型,六条件总体,11.620 ± 1.608,19.382 ± 3.170,9.97 ± 1.15,24.09 ± 2.83,51.87 ± 3.51
Industrial-1395,线性增益头,六条件总体,11.616 ± 1.600,19.383 ± 3.154,10.06 ± 1.27,24.13 ± 2.81,51.98 ± 3.44
Industrial-1395,11标量MLP门控,六条件总体,11.635 ± 1.611,19.390 ± 3.178,10.00 ± 1.36,23.88 ± 2.81,51.78 ± 3.38
Industrial-1395,三专家等权混合,六条件总体,12.112 ± 1.807,19.254 ± 3.271,8.18 ± 0.28,19.68 ± 1.27,47.16 ± 3.34
Industrial-1395,固定先验混合,六条件总体,11.956 ± 1.791,19.207 ± 3.278,8.38 ± 0.39,20.08 ± 1.61,48.25 ± 3.43
Industrial-1395,GeoPRR完整模型,无扰动,12.237 ± 2.078,20.236 ± 3.751,8.84 ± 0.92,23.37 ± 2.98,52.16 ± 2.23
Industrial-1395,线性增益头,无扰动,12.231 ± 2.062,20.239 ± 3.713,8.84 ± 0.90,23.56 ± 3.06,52.28 ± 2.09
Industrial-1395,11标量MLP门控,无扰动,12.260 ± 2.075,20.249 ± 3.746,8.79 ± 1.00,23.13 ± 2.99,52.02 ± 2.11
Industrial-1395,三专家等权混合,无扰动,12.248 ± 2.072,20.239 ± 3.740,8.75 ± 0.99,23.18 ± 2.98,52.11 ± 2.07
Industrial-1395,固定先验混合,无扰动,12.244 ± 2.083,20.234 ± 3.753,8.65 ± 1.00,23.25 ± 3.05,52.21 ± 2.27
Industrial-1395,GeoPRR完整模型,中度模糊,12.192 ± 2.088,20.246 ± 3.819,8.65 ± 0.92,24.21 ± 2.29,52.26 ± 2.01
Industrial-1395,线性增益头,中度模糊,12.186 ± 2.070,20.251 ± 3.779,8.72 ± 1.18,24.28 ± 2.41,52.45 ± 1.93
Industrial-1395,11标量MLP门控,中度模糊,12.218 ± 2.083,20.263 ± 3.811,8.70 ± 0.96,23.75 ± 2.34,52.16 ± 1.94
Industrial-1395,三专家等权混合,中度模糊,12.205 ± 2.080,20.252 ± 3.806,8.65 ± 0.95,23.92 ± 2.41,52.23 ± 1.94
Industrial-1395,固定先验混合,中度模糊,12.201 ± 2.091,20.248 ± 3.818,8.55 ± 1.02,23.89 ± 2.48,52.26 ± 2.07
Industrial-1395,GeoPRR完整模型,重度模糊,12.316 ± 2.337,20.504 ± 4.337,8.70 ± 0.57,23.56 ± 1.90,51.95 ± 2.04
Industrial-1395,线性增益头,重度模糊,12.306 ± 2.322,20.504 ± 4.303,8.82 ± 0.65,23.56 ± 1.93,52.09 ± 2.05
Industrial-1395,11标量MLP门控,重度模糊,12.342 ± 2.332,20.521 ± 4.329,8.67 ± 0.50,23.39 ± 1.94,51.73 ± 1.94
Industrial-1395,三专家等权混合,重度模糊,12.328 ± 2.331,20.509 ± 4.326,8.55 ± 0.50,23.37 ± 1.84,51.73 ± 1.94
Industrial-1395,固定先验混合,重度模糊,12.325 ± 2.338,20.506 ± 4.337,8.55 ± 0.72,23.30 ± 1.78,51.83 ± 2.01
Industrial-1395,GeoPRR完整模型,中度透视,10.496 ± 1.283,17.762 ± 2.314,10.44 ± 1.13,24.56 ± 2.42,53.60 ± 4.33
Industrial-1395,线性增益头,中度透视,10.505 ± 1.286,17.768 ± 2.322,10.16 ± 1.13,24.30 ± 2.61,53.69 ± 4.30
Industrial-1395,11标量MLP门控,中度透视,10.503 ± 1.294,17.767 ± 2.329,10.51 ± 1.58,24.47 ± 2.87,53.57 ± 4.13
Industrial-1395,三专家等权混合,中度透视,10.654 ± 1.270,17.332 ± 2.305,9.27 ± 0.50,19.21 ± 1.62,50.47 ± 4.41
Industrial-1395,固定先验混合,中度透视,10.594 ± 1.312,17.372 ± 2.363,9.44 ± 0.52,19.78 ± 1.88,51.40 ± 4.24
Industrial-1395,GeoPRR完整模型,重度透视,11.605 ± 1.239,19.169 ± 2.196,11.33 ± 2.67,24.21 ± 5.59,49.82 ± 6.18
Industrial-1395,线性增益头,重度透视,11.607 ± 1.244,19.174 ± 2.198,11.64 ± 2.47,24.11 ± 5.42,49.89 ± 6.10
Industrial-1395,11标量MLP门控,重度透视,11.613 ± 1.241,19.175 ± 2.222,11.45 ± 2.80,23.92 ± 5.01,49.80 ± 6.07
Industrial-1395,三专家等权混合,重度透视,12.916 ± 1.551,18.883 ± 2.514,7.00 ± 0.48,14.38 ± 1.13,38.14 ± 4.37
Industrial-1395,固定先验混合,重度透视,12.504 ± 1.500,18.745 ± 2.490,7.48 ± 0.62,15.13 ± 1.68,40.45 ± 4.14
Industrial-1395,GeoPRR完整模型,重度复合扰动,10.876 ± 1.372,18.129 ± 2.546,11.88 ± 1.89,24.64 ± 4.11,51.42 ± 5.84
Industrial-1395,线性增益头,重度复合扰动,10.864 ± 1.382,18.118 ± 2.564,12.19 ± 2.30,24.95 ± 4.04,51.47 ± 5.73
Industrial-1395,11标量MLP门控,重度复合扰动,10.875 ± 1.375,18.121 ± 2.579,11.90 ± 2.30,24.64 ± 4.04,51.42 ± 5.63
Industrial-1395,三专家等权混合,重度复合扰动,12.322 ± 1.859,18.034 ± 2.820,6.88 ± 0.81,14.00 ± 1.53,38.28 ± 5.56
Industrial-1395,固定先验混合,重度复合扰动,11.866 ± 1.776,17.850 ± 2.801,7.62 ± 0.50,15.10 ± 1.09,41.34 ± 6.07
