GeoPRR补充实验结果（均值 ± 标准差）,,,,,,,,
常规结果为六条件总体；按实验分区阅读，各区使用自身表头。,,,,,,,,
,,,,,,,,
E14 完整模型｜六条件总体,,,,,,,,
SyncG,GeoPRR完整模型,中度透视,0.380 ± 0.024,0.128 ± 0.005,0.492 ± 0.028,0.824 ± 0.014,0.38 ± 0.18,
SyncG,GeoPRR完整模型,重度透视,0.332 ± 0.010,0.075 ± 0.002,0.593 ± 0.008,0.690 ± 0.001,1.63 ± 0.35,
SyncG,GeoPRR完整模型,重度复合扰动,0.302 ± 0.012,0.072 ± 0.001,0.626 ± 0.011,0.658 ± 0.004,2.72 ± 0.42,
RF100-VL,GeoPRR完整模型,六条件总体,0.327 ± 0.021,0.193 ± 0.033,0.480 ± 0.013,0.692 ± 0.019,8.13 ± 0.72,
RF100-VL,线性增益头,六条件总体,0.325 ± 0.007,0.204 ± 0.007,0.471 ± 0.014,0.700 ± 0.023,8.31 ± 2.46,
RF100-VL,11标量MLP门控,六条件总体,0.338 ± 0.003,0.201 ± 0.003,0.461 ± 0.004,0.763 ± 0.009,2.39 ± 0.67,
RF100-VL,三专家等权混合,六条件总体,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00,
RF100-VL,固定先验混合,六条件总体,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00,
Industrial-1395,GeoPRR完整模型,六条件总体,0.314 ± 0.015,0.182 ± 0.035,0.504 ± 0.025,0.630 ± 0.022,13.75 ± 4.25,
Industrial-1395,线性增益头,六条件总体,0.293 ± 0.025,0.200 ± 0.050,0.507 ± 0.028,0.612 ± 0.014,18.53 ± 1.65,
Industrial-1395,11标量MLP门控,六条件总体,0.318 ± 0.002,0.197 ± 0.009,0.485 ± 0.010,0.712 ± 0.010,5.88 ± 1.03,
Industrial-1395,三专家等权混合,六条件总体,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00,
Industrial-1395,固定先验混合,六条件总体,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00,
,,,,,,,,
投影一致性｜六条件总体,,,,,,,,
数据集,方法,有符号残差均值,绝对残差均值,绝对残差最大值,,,,
SyncG,GeoPRR完整模型,-2.557e-10 ± 1.599e-10,1.208e-8 ± 2.622e-10,2.384e-7 ± 0.000e+0,,,,
RF100-VL,GeoPRR完整模型,-2.540e-10 ± 4.508e-11,7.650e-9 ± 1.018e-9,1.192e-7 ± 0.000e+0,,,,
Industrial-1395,GeoPRR完整模型,-1.597e-10 ± 8.916e-11,6.150e-9 ± 3.167e-10,1.391e-7 ± 3.441e-8,,,,
,,,,,,,,
参数量与延迟,,,,,,,,
方法,参数量（百万）,P50延迟（ms）,P95延迟（ms）,,,,,
GeoPRR完整模型,4.885096,38.501 ± 0.150,41.172 ± 0.161,,,,,
仅几何/基础专家,4.271638,30.518 ± 0.171,33.336 ± 0.279,,,,,
简单双视图回归,4.832509,10.631 ± 0.064,13.224 ± 0.217,,,,,
,,,,,,,,
Figure3 六条件｜SyncG,,,,,,,,
方法,评测条件,NMAE（%FS）,95%CI_NMAE（%FS）,Acc@2%（%）,95%CI_Acc@2%（%）,Acc@5%（%）,95%CI_Acc@5%（%）,
GeoPRR完整模型,六条件总体,0.740 ± 0.022,"[0.701, 0.784]",93.90 ± 0.29,"[93.34, 94.45]",98.90 ± 0.04,"[98.65, 99.13]",
固定先验混合,六条件总体,0.895 ± 0.021,"[0.853, 0.941]",91.59 ± 0.29,"[90.99, 92.19]",98.38 ± 0.14,"[98.09, 98.65]",
去几何融合,六条件总体,1.242 ± 0.042,"[1.195, 1.292]",82.49 ± 1.39,"[81.90, 83.08]",97.00 ± 0.25,"[96.67, 97.33]",
去几何融合+固定路由,六条件总体,1.369 ± 0.047,"[1.319, 1.422]",80.07 ± 1.50,"[79.50, 80.64]",96.23 ± 0.23,"[95.87, 96.58]",
Raw B0（六条件增强）,六条件总体,0.726 ± 0.007,"[0.679, 0.779]",95.14 ± 0.13,"[94.61, 95.65]",99.21 ± 0.08,"[98.98, 99.42]",
GeoPRR完整模型,无扰动,0.592 ± 0.025,"[0.563, 0.624]",96.36 ± 0.29,"[95.82, 96.86]",99.44 ± 0.04,"[99.23, 99.64]",
固定先验混合,无扰动,0.601 ± 0.026,"[0.572, 0.632]",96.38 ± 0.44,"[95.85, 96.88]",99.46 ± 0.01,"[99.24, 99.65]",
去几何融合,无扰动,0.591 ± 0.025,"[0.562, 0.623]",96.35 ± 0.38,"[95.82, 96.86]",99.44 ± 0.04,"[99.23, 99.64]",
去几何融合+固定路由,无扰动,0.601 ± 0.026,"[0.572, 0.632]",96.38 ± 0.44,"[95.85, 96.88]",99.46 ± 0.01,"[99.24, 99.65]",
Raw B0（六条件增强）,无扰动,0.579 ± 0.012,"[0.547, 0.616]",97.33 ± 0.34,"[96.89, 97.77]",99.52 ± 0.05,"[99.33, 99.69]",
GeoPRR完整模型,中度模糊,0.592 ± 0.029,"[0.562, 0.624]",96.34 ± 0.36,"[95.80, 96.85]",99.38 ± 0.06,"[99.16, 99.59]",
固定先验混合,中度模糊,0.601 ± 0.031,"[0.571, 0.633]",96.35 ± 0.43,"[95.82, 96.86]",99.40 ± 0.07,"[99.17, 99.60]",
去几何融合,中度模糊,0.591 ± 0.029,"[0.560, 0.623]",96.35 ± 0.39,"[95.80, 96.87]",99.38 ± 0.07,"[99.15, 99.58]",
去几何融合+固定路由,中度模糊,0.601 ± 0.031,"[0.571, 0.633]",96.35 ± 0.43,"[95.82, 96.86]",99.40 ± 0.07,"[99.17, 99.60]",
Raw B0（六条件增强）,中度模糊,0.578 ± 0.012,"[0.546, 0.616]",97.38 ± 0.34,"[96.93, 97.82]",99.50 ± 0.04,"[99.30, 99.68]",
GeoPRR完整模型,重度模糊,0.613 ± 0.028,"[0.577, 0.651]",96.07 ± 0.33,"[95.49, 96.63]",99.37 ± 0.12,"[99.13, 99.58]",
固定先验混合,重度模糊,0.621 ± 0.030,"[0.586, 0.659]",96.01 ± 0.35,"[95.43, 96.57]",99.39 ± 0.09,"[99.16, 99.60]",
去几何融合,重度模糊,0.611 ± 0.028,"[0.576, 0.650]",96.10 ± 0.35,"[95.51, 96.67]",99.38 ± 0.11,"[99.14, 99.59]",
去几何融合+固定路由,重度模糊,0.621 ± 0.030,"[0.586, 0.659]",96.01 ± 0.35,"[95.43, 96.57]",99.39 ± 0.09,"[99.16, 99.60]",
Raw B0（六条件增强）,重度模糊,0.603 ± 0.009,"[0.566, 0.647]",96.98 ± 0.36,"[96.48, 97.47]",99.43 ± 0.05,"[99.21, 99.62]",
GeoPRR完整模型,中度透视,0.740 ± 0.015,"[0.689, 0.798]",94.15 ± 0.50,"[93.53, 94.75]",99.26 ± 0.09,"[99.01, 99.49]",
固定先验混合,中度透视,0.818 ± 0.021,"[0.766, 0.877]",93.36 ± 0.87,"[92.67, 94.04]",99.13 ± 0.13,"[98.85, 99.39]",
去几何融合,中度透视,1.173 ± 0.041,"[1.121, 1.232]",86.71 ± 0.93,"[85.86, 87.56]",98.73 ± 0.07,"[98.40, 99.05]",
去几何融合+固定路由,中度透视,1.260 ± 0.035,"[1.207, 1.320]",84.47 ± 1.50,"[83.55, 85.35]",98.57 ± 0.07,"[98.22, 98.90]",
Raw B0（六条件增强）,中度透视,0.688 ± 0.004,"[0.640, 0.742]",95.64 ± 0.06,"[95.04, 96.22]",99.38 ± 0.09,"[99.15, 99.60]",
GeoPRR完整模型,重度透视,0.880 ± 0.017,"[0.828, 0.938]",91.38 ± 0.37,"[90.47, 92.24]",98.31 ± 0.13,"[97.94, 98.65]",
固定先验混合,重度透视,1.268 ± 0.036,"[1.208, 1.331]",85.42 ± 0.83,"[84.40, 86.44]",96.95 ± 0.25,"[96.45, 97.42]",
去几何融合,重度透视,2.160 ± 0.132,"[2.082, 2.241]",60.81 ± 4.56,"[59.70, 61.94]",93.14 ± 0.75,"[92.48, 93.79]",
去几何融合+固定路由,重度透视,2.470 ± 0.139,"[2.381, 2.563]",54.57 ± 4.61,"[53.48, 55.68]",91.14 ± 0.70,"[90.37, 91.90]",
Raw B0（六条件增强）,重度透视,0.920 ± 0.002,"[0.846, 1.001]",92.17 ± 0.13,"[91.35, 92.98]",98.92 ± 0.20,"[98.62, 99.20]",
GeoPRR完整模型,重度复合扰动,1.025 ± 0.019,"[0.956, 1.100]",89.13 ± 0.33,"[88.13, 90.08]",97.63 ± 0.09,"[97.16, 98.07]",
固定先验混合,重度复合扰动,1.463 ± 0.033,"[1.386, 1.544]",82.04 ± 0.89,"[80.99, 83.11]",95.96 ± 0.34,"[95.37, 96.52]",
去几何融合,重度复合扰动,2.324 ± 0.117,"[2.235, 2.419]",58.63 ± 4.01,"[57.47, 59.81]",91.95 ± 0.61,"[91.19, 92.68]",
去几何融合+固定路由,重度复合扰动,2.662 ± 0.126,"[2.561, 2.768]",52.66 ± 4.10,"[51.55, 53.81]",89.43 ± 0.65,"[88.60, 90.26]",
Raw B0（六条件增强）,重度复合扰动,0.992 ± 0.008,"[0.902, 1.094]",91.31 ± 0.35,"[90.39, 92.21]",98.50 ± 0.30,"[98.09, 98.87]",
,,,,,,,,
Figure3 透视角度｜SyncG,,,,,,,,
方法,透视角度（°）,NMAE（%FS）,95%CI_NMAE（%FS）,Acc@2%（%）,95%CI_Acc@2%（%）,Acc@5%（%）,95%CI_Acc@5%（%）,
GeoPRR完整模型,0,0.592 ± 0.025,"[0.563, 0.624]",96.35 ± 0.30,"[95.81, 96.86]",99.44 ± 0.04,"[99.23, 99.64]",
去几何融合,0,0.591 ± 0.025,"[0.562, 0.623]",96.34 ± 0.38,"[95.81, 96.85]",99.44 ± 0.04,"[99.23, 99.64]",
Raw B0（原检查点）,0,0.618 ± 0.028,"[0.589, 0.648]",96.28 ± 0.44,"[95.78, 96.77]",99.48 ± 0.02,"[99.27, 99.67]",
GeoPRR完整模型,15,0.735 ± 0.034,"[0.689, 0.788]",94.61 ± 0.69,"[94.00, 95.21]",99.36 ± 0.10,"[99.12, 99.57]",
去几何融合,15,0.906 ± 0.014,"[0.857, 0.962]",92.85 ± 0.39,"[92.09, 93.61]",99.17 ± 0.09,"[98.88, 99.44]",
Raw B0（原检查点）,15,1.062 ± 0.006,"[1.008, 1.124]",89.89 ± 0.08,"[89.05, 90.73]",98.96 ± 0.17,"[98.66, 99.24]",
GeoPRR完整模型,25,0.740 ± 0.015,"[0.689, 0.798]",94.15 ± 0.50,"[93.53, 94.75]",99.26 ± 0.09,"[99.01, 99.49]",
去几何融合,25,1.173 ± 0.041,"[1.121, 1.232]",86.72 ± 0.94,"[85.87, 87.57]",98.73 ± 0.07,"[98.39, 99.04]",
Raw B0（原检查点）,25,1.445 ± 0.028,"[1.386, 1.511]",78.89 ± 1.73,"[77.91, 79.87]",98.03 ± 0.30,"[97.64, 98.41]",
GeoPRR完整模型,35,0.786 ± 0.014,"[0.738, 0.842]",93.22 ± 0.28,"[92.54, 93.90]",98.98 ± 0.11,"[98.69, 99.24]",
去几何融合,35,1.558 ± 0.081,"[1.498, 1.622]",74.75 ± 4.14,"[73.70, 75.81]",97.48 ± 0.35,"[97.01, 97.94]",
Raw B0（原检查点）,35,2.088 ± 0.066,"[2.002, 2.181]",62.05 ± 4.39,"[60.94, 63.18]",94.59 ± 0.63,"[93.95, 95.21]",
GeoPRR完整模型,45,0.880 ± 0.017,"[0.828, 0.938]",91.41 ± 0.38,"[90.49, 92.27]",98.31 ± 0.13,"[97.94, 98.65]",
去几何融合,45,2.159 ± 0.131,"[2.082, 2.240]",60.82 ± 4.59,"[59.71, 61.95]",93.15 ± 0.76,"[92.49, 93.80]",
Raw B0（原检查点）,45,3.212 ± 0.180,"[3.082, 3.347]",45.32 ± 4.74,"[44.15, 46.52]",84.62 ± 1.93,"[83.73, 85.50]",
GeoPRR完整模型,60,11.416 ± 1.599,"[10.987, 11.858]",16.10 ± 2.93,"[15.28, 16.92]",38.16 ± 5.61,"[36.91, 39.43]",
去几何融合,60,11.406 ± 1.581,"[10.978, 11.848]",16.04 ± 2.91,"[15.23, 16.86]",38.36 ± 5.48,"[37.09, 39.64]",
Raw B0（原检查点）,60,11.440 ± 1.652,"[11.012, 11.881]",15.95 ± 3.07,"[15.13, 16.77]",38.23 ± 5.98,"[36.95, 39.53]",
,,,,,,,,
Figure3 交互作用｜SyncG｜六条件总体,,,,,,,,
NMAE交互差值（%FS）,95%置信区间,,,,,,,
-0.027583 ± 0.011307,"[-0.033978, -0.021246]",,,,,,,
,,,,,,,,
方法差异与置信区间｜六条件总体,,,,,,,,
数据集,对照方法,参考方法,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI,
SyncG,仅几何/基础专家,GeoPRR完整模型,三seed平均,0.054855,"[0.050453, 0.059252]",-0.041667,"[-0.081577, 0.000000]",
SyncG,简单双视图回归,GeoPRR完整模型,三seed平均,-0.008968,"[-0.018938, 0.000575]",0.145833,"[0.058480, 0.235784]",
SyncG,固定先验混合,GeoPRR完整模型,三seed平均,0.154998,"[0.145192, 0.165226]",-0.515278,"[-0.621136, -0.415006]",
SyncG,线性增益头,GeoPRR完整模型,三seed平均,0.000626,"[-0.000219, 0.001463]",-0.013889,"[-0.027626, 0.000000]",
SyncG,去几何融合+固定路由,GeoPRR完整模型,三seed平均,0.628884,"[0.603150, 0.655492]",-2.665278,"[-2.910251, -2.426578]",
SyncG,去几何融合,GeoPRR完整模型,三seed平均,0.501468,"[0.480538, 0.523130]",-1.894444,"[-2.097636, -1.696855]",
SyncG,去极坐标证据,GeoPRR完整模型,三seed平均,0.012073,"[0.010430, 0.013705]",-0.004167,"[-0.025044, 0.017961]",
SyncG,去关系传输,GeoPRR完整模型,三seed平均,0.051165,"[0.046971, 0.055359]",-0.054167,"[-0.095688, -0.013951]",
SyncG,仅极坐标专家,GeoPRR完整模型,三seed平均,0.895208,"[0.853687, 0.938337]",-4.977778,"[-5.276220, -4.677756]",
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,三seed平均,-0.013884,"[-0.038878, 0.012044]",0.309722,"[0.161999, 0.457002]",
SyncG,仅关系专家,GeoPRR完整模型,三seed平均,0.011123,"[0.009045, 0.013199]",-0.011111,"[-0.032113, 0.009964]",
SyncG,11标量MLP门控,GeoPRR完整模型,三seed平均,-0.00137,"[-0.002253, -0.000518]",0,"[-0.015225, 0.015213]",
SyncG,三专家等权混合,GeoPRR完整模型,三seed平均,0.216322,"[0.203209, 0.230048]",-0.775,"[-0.905785, -0.649093]",
SyncG,仅几何/基础专家,GeoPRR完整模型,三模型等权集成,0.055239,"[0.050475, 0.060000]",0,"[-0.058494, 0.057870]",
SyncG,简单双视图回归,GeoPRR完整模型,三模型等权集成,-0.023939,"[-0.034106, -0.014260]",0.175,"[0.081520, 0.269370]",
SyncG,固定先验混合,GeoPRR完整模型,三模型等权集成,0.164761,"[0.154147, 0.175918]",-0.4375,"[-0.560399, -0.322710]",
SyncG,线性增益头,GeoPRR完整模型,三模型等权集成,0.000891,"[0.000085, 0.001692]",-0.004167,"[-0.020311, 0.008432]",
SyncG,去几何融合+固定路由,GeoPRR完整模型,三模型等权集成,0.634253,"[0.607882, 0.661778]",-2.3,"[-2.561859, -2.045222]",
SyncG,去几何融合,GeoPRR完整模型,三模型等权集成,0.509964,"[0.488294, 0.532494]",-1.645833,"[-1.868291, -1.431744]",
