数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
RF100-VL,GeoPRR完整模型,中度透视,3.065 ± 0.263,5.425 ± 1.220,31.35 ± 2.68,54.75 ± 2.02,85.65 ± 1.67
RF100-VL,仅几何/基础专家,中度透视,3.087 ± 0.284,5.483 ± 1.209,32.45 ± 2.39,54.97 ± 3.69,86.75 ± 0.66
RF100-VL,简单双视图回归,中度透视,3.226 ± 0.363,5.704 ± 1.213,27.15 ± 2.89,55.41 ± 2.76,83.44 ± 2.39
RF100-VL,仅极坐标专家,中度透视,3.921 ± 0.596,6.834 ± 1.483,25.61 ± 3.33,44.59 ± 3.40,80.35 ± 1.01
RF100-VL,仅关系专家,中度透视,3.078 ± 0.245,5.421 ± 1.205,30.46 ± 2.39,55.85 ± 2.51,85.87 ± 2.02
RF100-VL,固定先验混合,中度透视,3.169 ± 0.314,5.522 ± 1.254,32.01 ± 5.31,51.66 ± 2.39,84.99 ± 0.76
RF100-VL,GeoPRR完整模型,重度透视,3.254 ± 0.327,5.493 ± 0.804,29.14 ± 2.65,52.76 ± 1.01,83.89 ± 2.02
RF100-VL,仅几何/基础专家,重度透视,3.381 ± 0.298,5.643 ± 0.819,28.92 ± 1.38,51.43 ± 1.38,83.22 ± 3.06
RF100-VL,简单双视图回归,重度透视,3.278 ± 0.272,5.377 ± 0.366,23.84 ± 1.32,46.58 ± 1.67,84.33 ± 2.99
RF100-VL,仅极坐标专家,重度透视,7.064 ± 0.747,10.873 ± 0.850,13.02 ± 1.67,23.62 ± 3.65,54.75 ± 7.53
RF100-VL,仅关系专家,重度透视,3.280 ± 0.332,5.501 ± 0.803,26.49 ± 0.66,51.43 ± 2.33,83.44 ± 1.99
RF100-VL,固定先验混合,重度透视,3.856 ± 0.395,6.198 ± 0.774,26.05 ± 3.77,44.15 ± 3.82,78.15 ± 3.50
RF100-VL,GeoPRR完整模型,重度复合扰动,3.401 ± 0.095,6.073 ± 0.918,25.61 ± 1.38,50.77 ± 2.13,83.66 ± 2.02
RF100-VL,仅几何/基础专家,重度复合扰动,3.573 ± 0.155,6.314 ± 0.903,23.18 ± 1.15,48.57 ± 2.99,81.90 ± 2.68
RF100-VL,简单双视图回归,重度复合扰动,3.286 ± 0.099,5.487 ± 0.705,22.96 ± 1.38,51.43 ± 2.68,84.11 ± 1.75
RF100-VL,仅极坐标专家,重度复合扰动,7.204 ± 0.935,11.164 ± 1.417,11.48 ± 2.68,22.08 ± 4.65,53.20 ± 4.31
RF100-VL,仅关系专家,重度复合扰动,3.393 ± 0.079,6.056 ± 0.902,26.27 ± 2.68,49.89 ± 3.06,83.44 ± 2.39
RF100-VL,固定先验混合,重度复合扰动,3.919 ± 0.233,6.586 ± 0.854,24.28 ± 4.05,44.15 ± 1.53,78.37 ± 1.53
Industrial-1395,GeoPRR完整模型,六条件总体,11.620 ± 1.608,19.382 ± 3.170,9.97 ± 1.15,24.09 ± 2.83,51.87 ± 3.51
Industrial-1395,仅几何/基础专家,六条件总体,11.612 ± 1.780,19.288 ± 3.334,8.86 ± 0.56,22.51 ± 1.80,51.77 ± 3.47
Industrial-1395,简单双视图回归,六条件总体,10.473 ± 0.730,18.541 ± 1.403,12.61 ± 1.98,31.69 ± 1.86,56.73 ± 4.05
Industrial-1395,仅极坐标专家,六条件总体,13.735 ± 2.185,20.820 ± 3.722,6.91 ± 0.41,17.03 ± 1.47,40.79 ± 2.66
Industrial-1395,仅关系专家,六条件总体,11.611 ± 1.623,19.386 ± 3.187,10.33 ± 1.29,24.41 ± 3.18,51.95 ± 3.71
Industrial-1395,固定先验混合,六条件总体,11.956 ± 1.791,19.207 ± 3.278,8.38 ± 0.39,20.08 ± 1.61,48.25 ± 3.43
Industrial-1395,GeoPRR完整模型,无扰动,12.237 ± 2.078,20.236 ± 3.751,8.84 ± 0.92,23.37 ± 2.98,52.16 ± 2.23
Industrial-1395,仅几何/基础专家,无扰动,12.233 ± 2.118,20.222 ± 3.791,8.41 ± 0.97,23.25 ± 2.59,52.26 ± 2.69
Industrial-1395,简单双视图回归,无扰动,11.198 ± 0.933,19.835 ± 1.874,12.28 ± 1.56,32.66 ± 2.08,57.06 ± 2.92
Industrial-1395,仅极坐标专家,无扰动,12.282 ± 1.985,20.278 ± 3.637,9.13 ± 0.83,23.78 ± 3.98,51.92 ± 1.41
Industrial-1395,仅关系专家,无扰动,12.233 ± 2.118,20.222 ± 3.791,8.41 ± 0.97,23.25 ± 2.59,52.26 ± 2.69
Industrial-1395,固定先验混合,无扰动,12.244 ± 2.083,20.234 ± 3.753,8.65 ± 1.00,23.25 ± 3.05,52.21 ± 2.27
Industrial-1395,GeoPRR完整模型,中度模糊,12.192 ± 2.088,20.246 ± 3.819,8.65 ± 0.92,24.21 ± 2.29,52.26 ± 2.01
Industrial-1395,仅几何/基础专家,中度模糊,12.191 ± 2.123,20.237 ± 3.856,8.34 ± 1.00,23.89 ± 2.37,52.43 ± 2.37
Industrial-1395,简单双视图回归,中度模糊,11.210 ± 0.925,19.914 ± 1.934,12.16 ± 1.55,32.23 ± 2.30,56.82 ± 2.91
Industrial-1395,仅极坐标专家,中度模糊,12.235 ± 2.001,20.288 ± 3.705,9.15 ± 1.26,23.99 ± 4.05,51.83 ± 1.06
Industrial-1395,仅关系专家,中度模糊,12.191 ± 2.123,20.237 ± 3.856,8.34 ± 1.00,23.89 ± 2.37,52.43 ± 2.37
Industrial-1395,固定先验混合,中度模糊,12.201 ± 2.091,20.248 ± 3.818,8.55 ± 1.02,23.89 ± 2.48,52.26 ± 2.07
Industrial-1395,GeoPRR完整模型,重度模糊,12.316 ± 2.337,20.504 ± 4.337,8.70 ± 0.57,23.56 ± 1.90,51.95 ± 2.04
Industrial-1395,仅几何/基础专家,重度模糊,12.315 ± 2.362,20.497 ± 4.370,8.48 ± 0.55,23.35 ± 2.05,52.07 ± 2.37
Industrial-1395,简单双视图回归,重度模糊,11.408 ± 1.246,20.235 ± 2.651,11.64 ± 1.35,31.18 ± 2.86,56.11 ± 2.67
Industrial-1395,仅极坐标专家,重度模糊,12.355 ± 2.272,20.538 ± 4.239,8.91 ± 0.95,23.25 ± 3.61,51.40 ± 0.83
Industrial-1395,仅关系专家,重度模糊,12.315 ± 2.362,20.497 ± 4.370,8.48 ± 0.55,23.35 ± 2.05,52.07 ± 2.37
Industrial-1395,固定先验混合,重度模糊,12.325 ± 2.338,20.506 ± 4.337,8.55 ± 0.72,23.30 ± 1.78,51.83 ± 2.01
Industrial-1395,GeoPRR完整模型,中度透视,10.496 ± 1.283,17.762 ± 2.314,10.44 ± 1.13,24.56 ± 2.42,53.60 ± 4.33
