method,seed,preprocessing,dataset,dataset_name,dataset_samples,groups,group_unit,scope,conditions,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,projective_pooled,perspective_moderate;perspective_severe;combined_severe,2442,1.0,0.09730930388070044,0.16035555105290716,0.07371007371007371,0.17813267813267813,0.5016380016380017,0.4125326335430144,0.5892647689580919,0.8079308271408081,1.0,0.09630853232263739,0.11873188336869678,0.07327818290540589,0.1799493362694457,0.4975024209216429,0.21493686714943488,0.286441264344573,0.32652426202595236
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,882,1.0,0.22277973214444194,0.26807166303505287,0.02834467120181406,0.048752834467120185,0.1292517006802721,0.4907990475495656,0.5864807182153066,0.6313863873481751,1.0,0.22005855909235483,0.26133616559287176,0.025132275132275134,0.04298941798941799,0.12665343915343916,0.45174775822389684,0.48356056238356093,0.49015762904333693
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,clean,clean,147,1.0,0.23624383167615012,0.28177279140546535,0.006802721088435374,0.027210884353741496,0.10204081632653061,0.5217137428124743,0.586395693620046,0.6313863873481751,1.0,0.23136778049368076,0.27275496131930366,0.005952380952380952,0.023809523809523808,0.09523809523809523,0.4321029338231162,0.45518757185557523,0.46095873136369003
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,blur_moderate,blur_moderate,147,1.0,0.23265792278475772,0.27884368338941706,0.027210884353741496,0.047619047619047616,0.10884353741496598,0.4992779811223348,0.5786274442672729,0.6149473667144776,1.0,0.22900238317471963,0.2703734459595267,0.023809523809523808,0.041666666666666664,0.10119047619047619,0.4283053381443023,0.44862383000737144,0.4537034529731387
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,blur_severe,blur_severe,147,1.0,0.22668362583973511,0.2717685222242256,0.034013605442176874,0.047619047619047616,0.12244897959183673,0.4828028949101766,0.5883720370928446,0.5926933606465657,1.0,0.22569136378389817,0.2651942804241495,0.02976190476190476,0.041666666666666664,0.10714285714285714,0.41485878239548385,0.4320721247366496,0.436375460321941
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,perspective_moderate,perspective_moderate,147,1.0,0.22083135918965419,0.26828356543959314,0.04081632653061224,0.047619047619047616,0.14285714285714285,0.48063581784566245,0.5824818313121796,0.5879006544748941,1.0,0.21530830875590995,0.2590803538451935,0.037698412698412696,0.04365079365079365,0.1765873015873016,0.4153381304097553,0.43904745650594196,0.4449747880299886
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,perspective_severe,perspective_severe,147,1.0,0.21189968903696083,0.2558214935803311,0.034013605442176874,0.06802721088435375,0.1564625850340136,0.4809874502817786,0.5562377637227373,0.5925574620564779,1.0,0.2114106001284599,0.2506414609295658,0.02976190476190476,0.05952380952380952,0.1488095238095238,0.39403686169026386,0.4170197464651531,0.4227654676588755
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,combined_severe,combined_severe,147,1.0,0.20836196433939363,0.25049142831058496,0.027210884353741496,0.05442176870748299,0.14285714285714285,0.4589292784531911,0.5031628255049383,0.527967381477356,1.0,0.20757091821746063,0.245119860226233,0.023809523809523808,0.047619047619047616,0.13095238095238096,0.384048508967672,0.40475490390951663,0.40993150264497785
GeoPRR-Net,20262021,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,projective_pooled,perspective_moderate;perspective_severe;combined_severe,441,1.0,0.21369767085533622,0.25830644831267685,0.034013605442176874,0.05668934240362812,0.1473922902494331,0.46987387736638386,0.5723543699582421,0.5925574620564779,1.0,0.21142994236727683,0.2522807501523548,0.03042328042328042,0.05026455026455027,0.1521164021164021,0.42996618481477095,0.4610902567250388,0.4691016384533473
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,2604,1.0,0.12141869615564,0.19886255546980508,0.13863287250384024,0.3076036866359447,0.49039938556067586,0.4635812446475029,0.7255585998296737,0.8987669944763184,1.0,0.11492173075214862,0.1426204685890369,0.12787414312255752,0.2846191453676497,0.481226303721918,0.28515871291065753,0.34924580982191994,0.3972671672701836
