method,seed,preprocessing,cohort,cohort_name,cohort_images,group_unit,scope,conditions,groups,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
Raw EfficientNet-B0,20262020,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.09739916606736831,0.16231049521904617,0.07168458781362007,0.21935483870967742,0.5376344086021505,0.4163848668336868,0.6054770863056179,0.7946974635124207,1.0,0.10911623840503742,0.12833777554229442,0.07077226764956955,0.17002201266644074,0.41574585535289726,0.20234418582592445,0.23362916631093195,0.24663090877282695
Raw EfficientNet-B0,20262020,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.10037291586253093,0.1648641943118723,0.060215053763440864,0.2,0.5175627240143369,0.4232772737741469,0.5950466513633726,0.763780951499939,1.0,0.11451321907681561,0.13366791878123846,0.05334849186264529,0.1708935881690538,0.40197437109349904,0.20640965580000328,0.2437739755225993,0.25784643331590373
Raw EfficientNet-B0,20262020,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.11592975497849668,0.16812014287215415,0.05806451612903226,0.11899641577060932,0.32903225806451614,0.3926322609186169,0.5564116716384886,0.6782898902893066,1.0,0.11897897952797333,0.13880444652634713,0.06329918838863383,0.11162095508814966,0.3079413786415542,0.22164537437331788,0.2561933373978619,0.2685630049911829
Raw EfficientNet-B0,20262020,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_severe,perspective_severe,52,1395,1.0,0.17473988193748885,0.21808531658502048,0.02795698924731183,0.05806451612903226,0.16344086021505377,0.4362243622541426,0.5262020504474639,0.750677227973938,1.0,0.15717160434402586,0.17754578878762634,0.03608473055292481,0.07551840916633613,0.17751195213574425,0.2783468797637102,0.31625006549484447,0.32726510360168337
Raw EfficientNet-B0,20262020,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,combined_severe,combined_severe,52,1395,1.0,0.1867285511088343,0.22862024490721952,0.023655913978494623,0.052329749103942655,0.15268817204301074,0.4436151981353759,0.5389162302017212,0.7176846861839294,1.0,0.16181499912619968,0.18271638149196257,0.027023262027997375,0.06347678024385381,0.18205142346764505,0.29087932582119336,0.325634046336806,0.33633143599121235
Raw EfficientNet-B0,20262020,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,projective_pooled,perspective_moderate;perspective_severe;combined_severe,52,4185,1.0,0.1591327293416066,0.2066339792408944,0.03655913978494624,0.07646356033452807,0.21505376344086022,0.43496621251106254,0.5406759166717526,0.750677227973938,1.0,0.1459885276660663,0.17038547385868433,0.042135726989852004,0.08353871483277987,0.2225015847483145,0.2905034134036837,0.34119074855216797,0.3639518404150239
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,52,8370,1.0,0.15308462266723344,0.21689822403363512,0.06869772998805257,0.15388291517323777,0.3235364396654719,0.46916781395673746,0.6392318642139433,0.9360417723655701,1.0,0.16729018616538363,0.20589264971483148,0.05634606677994292,0.12033274357540379,0.26495659257722737,0.3843273296081484,0.46768679644442523,0.5096740816434224
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,clean,clean,52,1395,1.0,0.135514180267847,0.2130177543684252,0.0910394265232975,0.22652329749103942,0.45161290322580644,0.4910504031181334,0.7056899106502528,0.8970658183097839,1.0,0.16444659517625787,0.19592555180437202,0.060260965007492416,0.15288868641559897,0.33970237811265347,0.32213338029552724,0.3738232890925289,0.394430825566061
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.13481186322816063,0.21215041611220062,0.0967741935483871,0.23010752688172043,0.44802867383512546,0.493338685631752,0.6779537582397447,0.8972679376602173,1.0,0.1635187890281351,0.19528991298315557,0.07196727625210736,0.16271288998980254,0.3304062664229248,0.32028331122730785,0.37260542034499056,0.3939305111464973
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.13968326730927721,0.21811896614151913,0.09247311827956989,0.2129032258064516,0.43154121863799283,0.5149330615997314,0.684380829334259,0.9360417723655701,1.0,0.16557676002939828,0.19745366533765832,0.07091852099810113,0.15425965320472318,0.3176596874781344,0.32420443568436474,0.37442405395559103,0.39233942132825267
