comparison,dataset,scope,candidate_nmae_pct_fs,reference_nmae_pct_fs,candidate_minus_reference_pct_fs,relative_error_reduction_pct,acc_at_2_gain_percentage_points,acc_at_5_gain_percentage_points
geoprr_minus_resnet18,syncg,combined_severe,1.025022969965174,5.826984329818242,-4.801961359853069,82.40903163717368,58.74166666666666,36.87499999999999
geoprr_minus_efficientnet_b0,syncg,combined_severe,1.025022969965174,3.427499632180765,-2.402476662215591,70.09414792225672,45.166666666666664,14.833333333333329
geoprr_minus_mobilenet_v3_large,syncg,combined_severe,1.025022969965174,5.246159448119209,-4.221136478154035,80.46145985264225,56.34166666666666,31.008333333333326
geoprr_minus_yolo,syncg,combined_severe,1.025022969965174,17.869226744087904,-16.84420377412273,94.2637530731188,69.13333333333333,52.12499999999999
geoprr_minus_vdn,syncg,combined_severe,1.025022969965174,15.140169468475436,-14.115146498510262,93.22977875446205,65.675,47.2
geoprr_minus_deeplab,syncg,combined_severe,1.025022969965174,32.25412820571521,-31.229105235750037,96.82204100068174,68.63333333333333,58.166666666666664
geoprr_minus_resnet18,syncg,perspective_pair,0.8085985974933916,3.6217500825934557,-2.813151485100064,77.6738157229675,39.33750000000001,19.795833333333334
geoprr_minus_efficientnet_b0,syncg,perspective_pair,0.8085985974933916,2.3286103254517596,-1.520011727958368,65.27548690068956,30.75416666666667,7.4375
geoprr_minus_mobilenet_v3_large,syncg,perspective_pair,0.8085985974933916,3.32945707201619,-2.5208584745227984,75.71380017812527,39.120833333333344,16.47916666666667
geoprr_minus_yolo,syncg,perspective_pair,0.8085985974933916,7.459500765916722,-6.650902168423331,89.16015129071417,44.77083333333334,24.229166666666657
geoprr_minus_vdn,syncg,perspective_pair,0.8085985974933916,5.88601213532669,-5.077413537833299,86.26236951432122,38.854166666666686,21.791666666666657
geoprr_minus_deeplab,syncg,perspective_pair,0.8085985974933916,13.953768712415599,-13.145170114922207,94.2051598090921,46.116666666666674,28.07083333333334
geoprr_minus_resnet18,syncg,projective_three,0.8807400549839858,4.356828165001717,-3.4760881100177317,79.78483379126709,45.80555555555555,25.48888888888888
geoprr_minus_efficientnet_b0,syncg,projective_three,0.8807400549839858,2.694906761028095,-1.8141667060441091,67.31834779144688,35.55833333333334,9.902777777777771
geoprr_minus_mobilenet_v3_large,syncg,projective_three,0.8807400549839858,3.968357864050529,-3.0876178090665434,77.80593169374578,44.861111111111114,21.32222222222221
geoprr_minus_yolo,syncg,projective_three,0.8807400549839858,10.929409425307115,-10.048669370323129,91.94155859012265,52.89166666666667,33.52777777777776
geoprr_minus_vdn,syncg,projective_three,0.8807400549839858,8.970731246376273,-8.089991191392286,90.18207066074172,47.794444444444444,30.26111111111109
geoprr_minus_deeplab,syncg,projective_three,0.8807400549839858,20.05388854351547,-19.173148488531485,95.60813329009562,53.62222222222223,38.10277777777777
geoprr_minus_resnet18,rf100,all_conditions,3.205253847897903,7.850954565504903,-4.645700717607,59.173705297175296,21.927888153053715,28.292862398822663
geoprr_minus_efficientnet_b0,rf100,all_conditions,3.205253847897903,4.605721044383785,-1.4004671964858817,30.407121555779224,10.779985283296547,10.77998528329654
geoprr_minus_mobilenet_v3_large,rf100,all_conditions,3.205253847897903,5.94177331288839,-2.7365194649904874,46.05560193712981,21.00809418690214,18.837380426784392
geoprr_minus_yolo,rf100,all_conditions,3.205253847897903,17.85993633531307,-14.654682487415165,82.05338592635181,23.215599705665937,33.07579102281089
geoprr_minus_vdn,rf100,all_conditions,3.205253847897903,19.697148402856396,-16.491894554958492,83.72732041033365,27.851361295069914,32.855040470934505
geoprr_minus_deeplab,rf100,all_conditions,3.205253847897903,30.404008264419748,-27.198754416521844,89.45779181474289,30.31640912435615,39.330389992641635
geoprr_minus_resnet18,rf100,clean,3.32180761606359,6.062625754208916,-2.7408181381453263,45.20843359401726,11.479028697571742,14.569536423841072
geoprr_minus_efficientnet_b0,rf100,clean,3.32180761606359,3.3146532979001435,0.0071543181634465824,-0.21583910956777574,0.0,0.22075055187636394
geoprr_minus_mobilenet_v3_large,rf100,clean,3.32180761606359,3.5866934292823243,-0.26488581321873417,7.385237083720764,12.582781456953647,4.856512141280348
geoprr_minus_yolo,rf100,clean,3.32180761606359,10.355211655586267,-7.033404039522677,67.92139333751238,13.46578366445916,17.439293598233974
geoprr_minus_vdn,rf100,clean,3.32180761606359,14.526357766534417,-11.204550150470826,77.13254988310754,23.620309050772633,23.620309050772626
geoprr_minus_deeplab,rf100,clean,3.32180761606359,16.62477038567119,-13.3029627696076,80.01892634302702,17.439293598233995,17.660044150110366
geoprr_minus_resnet18,rf100,blur_moderate,3.182953247318318,6.039865383927551,-2.8569121366092327,47.30092402740713,12.362030905077276,14.569536423841043
geoprr_minus_efficientnet_b0,rf100,blur_moderate,3.182953247318318,3.173638777927743,0.00931446939057512,-0.2934949451511646,0.22075055187639236,0.0
geoprr_minus_mobilenet_v3_large,rf100,blur_moderate,3.182953247318318,3.520934675770714,-0.33798142845239587,9.599196224179124,14.128035320088308,4.635761589403955
geoprr_minus_yolo,rf100,blur_moderate,3.182953247318318,10.476214804441053,-7.293261557122735,69.61733501331982,13.245033112582789,20.08830022075054
geoprr_minus_vdn,rf100,blur_moderate,3.182953247318318,14.686606509811032,-11.503653262492714,78.32751054375956,26.710816777041956,28.035320088300217
geoprr_minus_deeplab,rf100,blur_moderate,3.182953247318318,17.051864510648105,-13.868911263329787,81.33369377096147,22.29580573951435,21.6335540838852
geoprr_minus_resnet18,rf100,blur_severe,2.957869046252152,6.071934242381059,-3.114065196128907,51.286214109389825,16.335540838852097,15.231788079470206
geoprr_minus_efficientnet_b0,rf100,blur_severe,2.957869046252152,2.9476297019459476,0.010239344306204323,-0.347375530225,-7.105427357601002e-15,0.0
geoprr_minus_mobilenet_v3_large,rf100,blur_severe,2.957869046252152,3.3571006765449796,-0.3992316302928276,11.892155426917492,14.34878587196468,5.960264900662253
geoprr_minus_yolo,rf100,blur_severe,2.957869046252152,11.146422630208075,-8.188553583955922,73.4635125153429,15.231788079470192,21.19205298013246
geoprr_minus_vdn,rf100,blur_severe,2.957869046252152,17.09859536409794,-14.140726317845786,82.70109922325658,32.671081677704194,35.099337748344375
geoprr_minus_deeplab,rf100,blur_severe,2.957869046252152,18.278720771310173,-15.32085172505802,83.81796470738395,24.944812362030902,25.165562913907294
geoprr_minus_resnet18,rf100,perspective_moderate,3.073809523416738,6.812581332248578,-3.7387718088318396,54.88039887514724,21.412803532008823,27.152317880794705
geoprr_minus_efficientnet_b0,rf100,perspective_moderate,3.073809523416738,3.933718954892195,-0.8599094314754567,21.85996105303926,9.933774834437088,6.181015452538631
geoprr_minus_mobilenet_v3_large,rf100,perspective_moderate,3.073809523416738,4.9380496258353475,-1.8642401024186093,37.75255908051439,18.10154525386313,14.128035320088301
geoprr_minus_yolo,rf100,perspective_moderate,3.073809523416738,13.444892171919168,-10.37108264850243,77.13771531885797,22.51655629139072,29.139072847682122
geoprr_minus_vdn,rf100,perspective_moderate,3.073809523416738,11.988823453141478,-8.91501392972474,74.36104105268733,19.205298013245027,19.205298013245027
geoprr_minus_deeplab,rf100,perspective_moderate,3.073809523416738,22.711996501634406,-19.638186978217668,86.46614126065253,29.359823399558497,34.437086092715234
geoprr_minus_resnet18,rf100,perspective_severe,3.2765645040432125,10.859078835773287,-7.582514331730074,69.82649676279024,36.8653421633554,49.22737306843268
geoprr_minus_efficientnet_b0,rf100,perspective_severe,3.2765645040432125,7.0688432248839455,-3.792278720840733,53.64779781069474,28.03532008830021,28.69757174392936
geoprr_minus_mobilenet_v3_large,rf100,perspective_severe,3.2765645040432125,10.244721926999418,-6.968157422956205,68.01704792583972,35.7615894039735,42.3841059602649
geoprr_minus_yolo,rf100,perspective_severe,3.2765645040432125,28.07967986619428,-24.80311536215107,88.33118995780313,37.08609271523178,54.30463576158941
geoprr_minus_vdn,rf100,perspective_severe,3.2765645040432125,25.52629144413147,-22.24972694008826,87.1639618656924,32.4503311258278,41.280353200883006
geoprr_minus_deeplab,rf100,perspective_severe,3.2765645040432125,51.689375433383454,-48.41281092934024,93.66104837489088,45.03311258278145,67.3289183222958
geoprr_minus_resnet18,rf100,combined_severe,3.4185191502934065,11.259641844490025,-7.841122694196619,69.63918393224665,33.11258278145695,49.00662251655629
geoprr_minus_efficientnet_b0,rf100,combined_severe,3.4185191502934065,7.195842308752737,-3.7773231584593305,52.493134179229365,26.490066225165553,29.58057395143488
geoprr_minus_mobilenet_v3_large,rf100,combined_severe,3.4185191502934065,10.003139542897557,-6.584620392604151,65.82553771610007,31.125827814569526,41.059602649006614
geoprr_minus_yolo,rf100,combined_severe,3.4185191502934065,33.657196883529565,-30.23867773323616,89.84312578934258,37.74834437086092,56.29139072847683
geoprr_minus_vdn,rf100,combined_severe,3.4185191502934065,34.35621587942206,-30.937696729128653,90.04977974788848,32.4503311258278,49.88962472406181
geoprr_minus_deeplab,rf100,combined_severe,3.4185191502934065,56.06732198387113,-52.648802833577726,93.90283140101322,42.82560706401765,69.75717439293598
geoprr_minus_resnet18,rf100,perspective_pair,3.1751870137299756,8.835830084010931,-5.660643070280956,64.06464380210633,29.13907284768212,38.189845474613676
geoprr_minus_efficientnet_b0,rf100,perspective_pair,3.1751870137299756,5.50128108988807,-2.3260940761580944,42.28277083375541,18.98454746136865,17.439293598233988
geoprr_minus_mobilenet_v3_large,rf100,perspective_pair,3.1751870137299756,7.591385776417383,-4.416198762687407,58.173815595122505,26.931567328918316,28.25607064017659
geoprr_minus_yolo,rf100,perspective_pair,3.1751870137299756,20.762286019056724,-17.58709900532675,84.7069488840698,29.801324503311257,41.721854304635755
geoprr_minus_vdn,rf100,perspective_pair,3.1751870137299756,18.757557448636476,-15.582370434906501,83.07249212790877,25.82781456953642,30.242825607064006
geoprr_minus_deeplab,rf100,perspective_pair,3.1751870137299756,37.20068596750893,-34.02549895377896,91.46470842902417,37.196467991169975,50.883002207505506
geoprr_minus_resnet18,rf100,projective_three,3.256297725917786,9.643767337503963,-6.387469611586177,66.2341737211529,30.463576158940402,41.795437821927884
geoprr_minus_efficientnet_b0,rf100,projective_three,3.256297725917786,6.066134829509627,-2.8098371035918412,46.32005688239841,21.486387049300962,21.48638704930096
geoprr_minus_mobilenet_v3_large,rf100,projective_three,3.256297725917786,8.39530369857744,-5.139005972659653,61.21286563499118,28.32965415746873,32.523914643119944
geoprr_minus_yolo,rf100,projective_three,3.256297725917786,25.060589640547676,-21.80429191462989,87.00630043975843,32.450331125827816,46.57836644591612
geoprr_minus_vdn,rf100,projective_three,3.256297725917786,23.957110258898336,-20.70081253298055,86.40780256580274,28.03532008830022,36.79175864606328
geoprr_minus_deeplab,rf100,projective_three,3.256297725917786,43.48956463962966,-40.23326691371188,92.51246189079922,39.0728476821192,57.17439293598234
geoprr_minus_resnet18,industrial,all_conditions,11.623503306597366,22.02014447584967,-10.396641169252304,47.21422777518419,13.401035444046196,27.299880525686973
geoprr_minus_efficientnet_b0,industrial,all_conditions,11.623503306597366,13.691356237660731,-2.0678529310633653,15.10334619279962,7.060931899641577,10.406212664277177
geoprr_minus_mobilenet_v3_large,industrial,all_conditions,11.623503306597366,16.437110517420265,-4.8136072108229,29.284996324149404,9.072082835523696,18.072481083233768
