comparison,dataset,scope,definition,candidate_better_groups,tied_groups,candidate_worse_groups,candidate_better_group_fraction,median_group_delta_pct_fs
geoprr_minus_yolo,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-13.594394284270752
geoprr_minus_vdn,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,34,0,1,0.9714285714285714,-15.113994065797742
geoprr_minus_deeplab,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,34,0,1,0.9714285714285714,-24.866728555967523
geoprr_minus_resnet18,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,25,0,10,0.7142857142857143,-0.7049342831085972
geoprr_minus_efficientnet_b0,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,22,0,13,0.6285714285714286,-0.008523712555566831
geoprr_minus_mobilenet_v3_large,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,25,0,10,0.7142857142857143,-0.4316345928499907
geoprr_minus_yolo,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,27,0,8,0.7714285714285715,-2.9945144177733605
geoprr_minus_vdn,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,30,0,5,0.8571428571428571,-8.086155420207344
geoprr_minus_deeplab,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,29,0,6,0.8285714285714286,-3.7569305897899503
geoprr_minus_resnet18,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,25,0,10,0.7142857142857143,-0.7956159954961646
geoprr_minus_efficientnet_b0,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,20,0,15,0.5714285714285714,-0.006326908866564285
geoprr_minus_mobilenet_v3_large,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,23,0,12,0.6571428571428571,-0.3536763767022708
geoprr_minus_yolo,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,27,0,8,0.7714285714285715,-3.040754795074463
geoprr_minus_vdn,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,31,0,4,0.8857142857142857,-6.456512336929638
geoprr_minus_deeplab,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,30,0,5,0.8571428571428571,-3.6968372113374013
geoprr_minus_resnet18,rf100,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,24,0,11,0.6857142857142857,-1.023057141091357
geoprr_minus_efficientnet_b0,rf100,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,18,0,17,0.5142857142857142,-0.0008483018193912173
geoprr_minus_mobilenet_v3_large,rf100,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,24,0,11,0.6857142857142857,-0.4251718521118164
geoprr_minus_yolo,rf100,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,29,0,6,0.8285714285714286,-3.0407806237538657
geoprr_minus_vdn,rf100,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,30,0,5,0.8571428571428571,-10.185725849216526
geoprr_minus_deeplab,rf100,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,31,0,4,0.8857142857142857,-6.840638562704795
geoprr_minus_resnet18,rf100,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,31,0,4,0.8857142857142857,-2.0344138145446777
geoprr_minus_efficientnet_b0,rf100,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,31,0,4,0.8857142857142857,-1.0258199739809104
geoprr_minus_mobilenet_v3_large,rf100,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,30,0,5,0.8571428571428571,-1.5398609141508732
geoprr_minus_yolo,rf100,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-7.469722165737324
geoprr_minus_vdn,rf100,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-5.324944481253624
geoprr_minus_deeplab,rf100,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,33,0,2,0.9428571428571428,-20.95446694295713
geoprr_minus_resnet18,rf100,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,34,0,1,0.9714285714285714,-6.5824597685604465
geoprr_minus_efficientnet_b0,rf100,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,31,0,4,0.8857142857142857,-3.504242499669393
geoprr_minus_mobilenet_v3_large,rf100,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,34,0,1,0.9714285714285714,-6.426194030607991
geoprr_minus_yolo,rf100,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-26.58329010009766
geoprr_minus_vdn,rf100,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-20.36317456422699
geoprr_minus_deeplab,rf100,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,34,0,1,0.9714285714285714,-52.580078135742
geoprr_minus_resnet18,rf100,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,31,0,4,0.8857142857142857,-6.745008507340489
