comparison,dataset,scope,candidate_nmae_pct_fs,reference_nmae_pct_fs,candidate_minus_reference_pct_fs,relative_error_reduction_pct,acc_at_2_gain_percentage_points,acc_at_5_gain_percentage_points,replicates,seed,rows_per_seed,ci95_low_pct_fs,ci95_high_pct_fs,relative_reduction_ci95_low_pct,relative_reduction_ci95_high_pct,groups,source_seed_count
geoprr_minus_vdn,syncg,clean,0.5943754074958534,0.9476681806384113,-0.3532927731425579,37.280219000764255,6.241666666666674,0.4416666666666629,20000,20260907,4000,-0.4068559383084607,-0.30426694263902,33.438987600463655,40.910337903947735,145,3
geoprr_minus_deeplab,syncg,clean,0.5943754074958534,0.45939670514580055,0.13497870235005283,-29.38173061280753,-2.2583333333333258,-0.3333333333333428,20000,20260907,4000,0.06723081606999359,0.19105341481423208,-46.81892568491171,-12.7859928728088,145,3
geoprr_minus_resnet18,rf100,all_conditions,3.205253847897903,7.850954565504903,-4.645700717607,59.173705297175296,21.927888153053715,28.292862398822663,20000,20261007,906,-6.741089679950051,-3.0628600703391426,45.730592136978174,68.18910202606055,35,3
geoprr_minus_efficientnet_b0,rf100,all_conditions,3.205253847897903,4.605721044383785,-1.4004671964858817,30.407121555779224,10.779985283296547,10.77998528329654,20000,,906,-1.8858329963943603,-1.0285734020891932,,,35,3
geoprr_minus_mobilenet_v3_large,rf100,all_conditions,3.205253847897903,5.94177331288839,-2.7365194649904874,46.05560193712981,21.00809418690214,18.837380426784392,20000,20261007,906,-3.5822293827869958,-2.067187172881453,34.55017288131207,57.15496568302334,35,3
geoprr_minus_yolo,rf100,all_conditions,3.205253847897903,17.85993633531307,-14.654682487415165,82.05338592635181,23.215599705665937,33.07579102281089,20000,20261007,906,-18.54266349431287,-11.378903806806198,77.15848667180319,85.30902333713858,35,3
geoprr_minus_vdn,rf100,all_conditions,3.205253847897903,19.697148402856396,-16.491894554958492,83.72732041033365,27.851361295069914,32.855040470934505,20000,20261007,906,-20.792710056914387,-12.214774181206042,78.63816556613908,86.79771308018545,35,3
geoprr_minus_deeplab,rf100,all_conditions,3.205253847897903,30.404008264419748,-27.198754416521844,89.45779181474289,30.31640912435615,39.330389992641635,20000,20261007,906,-33.55972559829195,-22.326673801683075,85.8503273273456,91.67719264588665,35,3
geoprr_minus_resnet18,rf100,clean,3.32180761606359,6.062625754208916,-2.7408181381453263,45.20843359401726,11.479028697571742,14.569536423841072,20000,20261007,151,-6.1811228156518006,-0.0962687032909287,2.427022628754844,65.52112944187859,35,3
geoprr_minus_efficientnet_b0,rf100,clean,3.32180761606359,3.3146532979001435,0.0071543181634465824,-0.21583910956777574,0.0,0.22075055187636394,20000,,151,-0.012820100118861356,0.021551480640461324,,,35,3
geoprr_minus_mobilenet_v3_large,rf100,clean,3.32180761606359,3.5866934292823243,-0.26488581321873417,7.385237083720764,12.582781456953647,4.856512141280348,20000,20261007,151,-0.9338745058826206,0.6097725630035942,-17.01101981318126,27.26785774643424,35,3
geoprr_minus_yolo,rf100,clean,3.32180761606359,10.355211655586267,-7.033404039522677,67.92139333751238,13.46578366445916,17.439293598233974,20000,20261007,151,-13.402364477102562,-2.1102435325988504,40.554982835660965,78.096075572041,35,3
geoprr_minus_vdn,rf100,clean,3.32180761606359,14.526357766534417,-11.204550150470826,77.13254988310754,23.620309050772633,23.620309050772626,20000,20261007,151,-16.795734864503146,-6.094575992946682,65.84214341333166,83.31361018266225,35,3
geoprr_minus_deeplab,rf100,clean,3.32180761606359,16.62477038567119,-13.3029627696076,80.01892634302702,17.439293598233995,17.660044150110366,20000,20261007,151,-21.98774477690413,-6.68791562511649,66.27761320639566,86.62272148264017,35,3
geoprr_minus_resnet18,industrial,all_conditions,11.623503306597366,22.02014447584967,-10.396641169252304,47.21422777518419,13.401035444046196,27.299880525686973,20000,20261107,8370,-13.165861300107323,-7.5684374083258055,36.97742308324904,55.87324800059467,52,3
geoprr_minus_efficientnet_b0,industrial,all_conditions,11.623503306597366,13.691356237660731,-2.0678529310633653,15.10334619279962,7.060931899641577,10.406212664277177,20000,,8370,-2.647377486100978,-1.4427974688858882,,,52,3
geoprr_minus_mobilenet_v3_large,industrial,all_conditions,11.623503306597366,16.437110517420265,-4.8136072108229,29.284996324149404,9.072082835523696,18.072481083233768,20000,20261107,8370,-6.502318784644723,-3.163407300646591,19.5950881031852,38.76700830283993,52,3
geoprr_minus_yolo,industrial,all_conditions,11.623503306597366,32.69751352784665,-21.07401022124929,64.45141525303362,3.1381919553962554,15.675029868578257,20000,20261107,8370,-22.988675199545607,-19.212674101792125,57.03500502503835,71.47397550788139,52,3
geoprr_minus_vdn,industrial,all_conditions,11.623503306597366,33.051908245997346,-21.428404939399982,64.83258025501449,0.03584229390680704,14.918359219434485,20000,20261107,8370,-24.05491295809749,-18.85085151413037,56.562395222450355,72.39535283923558,52,3
geoprr_minus_deeplab,industrial,all_conditions,11.623503306597366,39.475250675254394,-27.85174736865703,70.55496011356878,2.1505376344086002,16.129032258064512,20000,20261107,8370,-30.24509999386142,-25.43212672369628,62.99472416897467,77.41524426331091,52,3
geoprr_minus_resnet18,industrial,clean,12.244004372240584,17.0253763649807,-4.781371992740118,28.083796153692475,7.574671445639181,15.388291517323772,20000,20261107,1395,-7.753767706099573,-1.8878249141022807,12.959289779127852,39.61822907210518,52,3
geoprr_minus_efficientnet_b0,industrial,clean,12.244004372240584,12.229215720369194,0.014788651871390002,-0.12092886583689719,0.14336917562723173,-0.28673835125448477,20000,,1395,-0.010696834026325375,0.041613044023841916,,,52,3
geoprr_minus_mobilenet_v3_large,industrial,clean,12.244004372240584,14.776480054333806,-2.5324756820932226,17.13855852531314,3.1780167264038184,8.410991636798087,20000,20261107,1395,-5.015020941385924,-0.31751532937499805,2.536840308982397,29.51149692770859,52,3
geoprr_minus_yolo,industrial,clean,12.244004372240584,16.741515576188416,-4.497511203947832,26.86442086727606,-10.609318996415777,-4.157706093189965,20000,20261107,1395,-6.350097022502066,-2.8020012300623147,17.45971333488439,37.038640934076845,52,3
geoprr_minus_vdn,industrial,clean,12.244004372240584,24.127495835610393,-11.88349146336981,49.25290027749444,-4.54002389486261,7.383512544802869,20000,20261107,1395,-14.912951546130888,-9.05953262598075,38.48422304681423,59.26473905157863,52,3
geoprr_minus_deeplab,industrial,clean,12.244004372240584,16.071023114885936,-3.827018742645352,23.81316183348987,-10.943847072879333,-4.157706093189965,20000,20261107,1395,-6.504517362316123,-1.4933054059893198,9.459967198196905,38.594907938400766,52,3
